,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw,bs_f1_rescaled
209,Alan has found some cinnamon whiskey and sends Robert photos of it. ,"Alan found a company for flavored whiskey. It has no sugar, no flavor and added cinnamon flavoring.",48.28,0.0,27.59,88.23,30.29
210,Yaz and Mary are meeting tonight around 6 and going for the slimming club together. They expect to be scolded for eating too much. ,Yaz and Mary are going to the slimming club tonight. Yaz will pick up Mary at 6 o'clock.,51.16,24.39,37.21,91.92,52.13
211,Ellie's class is in 342 on the second floor.,Aaliyah and Camille are at the university. They are having their classes at 342 on the second floor.,35.71,30.77,35.71,92.53,55.71
212,Nathan and Aaron are discussing a video which Nathan sent. ,Aaron's cat's face looks like it's taking a dump.,18.18,0.0,18.18,87.99,28.82
213,William is coming back in 5 minutes as he had to queue for 20 minutes.,William has been in que for 20 minutes. It's his turn to come back in 5 minutes.,54.55,32.26,30.3,93.15,59.41
214,Jake reserved 3 tickets for tomorrow 7 pm. He got 30% discount.,Jake booked 3 tickets for 7 pm tomorrow and got a 30% discount on them.,74.07,32.0,66.67,96.67,80.24
215,"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.","Freddie, Kelly, Jim and Mary are watching Netflix series Mad Men. Greg is watching House of Cards. Nancy is watching Desperate Housewives.",52.63,16.67,36.84,91.31,48.5
216,Sonia is going to San Sebastian in a month. Toni enjoyed her the airbnb place there. Sonia isn't convinced about it and will let Toni know.,Toni and Sonia went to San Sebastian last year. They stayed at the airbnb place next to the Playa de la Concha. Toni will contact the landlady who rents a room in the apartment.,42.62,13.56,26.23,89.55,38.08
217,"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",Malik wants to try paleo diet and keto diet. Samantha wants to lose weight.,55.56,11.76,27.78,92.39,54.93
218,Derek closed some deals today. Phil didn't manage to do it.,Derek closed some deals but he had a lot of stress. Some clients are negotiating for days and weeks and then they pull out.,22.22,17.65,22.22,89.96,40.51
219,People are photoshopping Timothée Chalamet into artworks. Dominic and Nova agree that he looks like a 19th century man.,Timothée Chalamet is being Photoshopped into artworks.,29.63,16.0,29.63,93.79,63.21
220,Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,Peter has been working out too much. Lisa wants to get in shape. Peter also wants to work out. Peter has a membership in the gym near his office. He does weights and runs on the treadmill. Lisa thinks he needs to eat better to keep in shape.,42.67,19.18,32.0,92.62,56.3
221,"Julia broke Tom's cup, which made him sad. She will buy him a new one.",Julia broke Tom's cup.,47.62,42.11,47.62,93.54,61.74
222,"The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad.",There are the CSS tests today. Don is not sure if he has to fill out all the fields. It's supposed to be a database of all the young up-and-coming hockey stars.,33.33,9.38,18.18,87.16,23.95
223,"Jessica bought a table, six chairs, a vase and a pile of clothes and the second hand shop downtown. She paid 70 euros for everything. ","Jessica went to the secondhand shop in downtown. She bought a table, six chairs, a vase and a pile of clothes.",73.91,54.55,56.52,95.35,72.43
224,Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,Abigail and Damien are going to church on Sunday.,66.67,64.0,66.67,95.75,74.84
225,Lucian is not at home. Desiree wants Lucian to keep her pasta in the microwave.,Lucian has left his pasta in the microwave.,43.48,28.57,43.48,93.69,62.63
226,Doug has a cool pair of shoes.,Jeni loves Doug's shoes.,33.33,0.0,33.33,92.35,54.7
227,"Tessa doesn't like Chloe texting her boyfriend, Jim Andrews. Jim is Chloe's co-worker so Chloe needs to communicate with him.",Tessa wants Chloe to stop texting her boyfriend Jim Andrews.,48.48,25.81,42.42,93.76,63.01
228,"Emily, Kate and Marta are going to the Pub X at the central station today for a drink.",Kate and Marta will have a drink after work at Pub X at the central station at 5.30.,59.46,45.71,48.65,94.32,66.35
229,"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER. ",Jane is allergic to peanuts. She ordered a cake and a cheesecake for Anne. She started swelling after the first bite.,27.27,0.0,13.64,89.29,36.56
230,Railey will buy Tiffany a burger.,Tiffany wants Railey to buy her a burger on her way home.,55.56,12.5,44.44,91.98,52.46
231,Ariana will do shopping in Midtown. Aviana can't join her.,Ariana is going shopping to Midtown.,35.29,0.0,35.29,94.54,67.65
232,Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,Jane is going to Value Village with her sister to get Halloween costumes.,56.25,26.67,25.0,91.55,49.92
233,"Today Mary didn't go to school, she stayed at home.",Mary stayed at home today.,62.5,28.57,50.0,93.0,58.54
234,Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,Tom is a few meters away from Jeffrey and Elena.,41.67,0.0,16.67,90.09,41.27
235,Sophia apologizes to Mason. She sends him a kiss photo on his request.,Sophia wants Mason to kiss her. Mason sends her a photo.,58.33,0.0,50.0,93.66,62.42
236,"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",Steffen is more disabled than usual since he twisted his ancle yesterday. He will park at the bottom and hike up. Dan is sure Mr. Budd will make it.,40.0,23.08,37.5,89.99,40.68
237,"Jake, Florence, Margot and others are going on a research trip to Swazi. The name of the country was changed last year and it's now Eswatini.","Mike, Jake, Florence and Margot are going on a research trip to Eswatini.",60.0,36.84,55.0,93.63,62.29
238,Christine is sick and won't come to school tomorrow. Annie will leave Theraflu sachets in a mailbox. Christine doesn't want to get her sick.,"Christine is not going to school tomorrow because she has the flu. Christine has a blocked nose, sore throat and a cold. Annie will drop the bags through Christine's letterbox later.",34.48,14.29,27.59,90.28,42.43
239,Jill called Sarah. She also sent her some old pictures. ,Bob is angry at Jill for calling Sarah.,22.22,0.0,22.22,90.52,43.85
240,Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter. ,Peter starts his new job on the 6th at 8. He will get a babysitter.,66.67,52.94,66.67,95.18,71.42
241,Aimee is looking for Maryam.,Aimee went to Maryam's house.,36.36,0.0,36.36,93.6,62.1
242,"George, Robert and Paul are going to play basketball on Friday at 7. Yousuf will be late.","George, Robert and Paul are going to play basketball on Friday at 7 pm. Yousuf will come half an hour later to help his sister with her car.",66.67,60.47,66.67,94.75,68.9
243,"Rory wants Mitch to take Bill and Sammy and they'll chip in for gas. Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday. Bill will arrive around 10 am Sunday and Joanna will be picking him. Mitch will meet Bill after.",Mitch is going to join Bill and Sammy for the International Camp. Mitch will drive 1000 km on Sunday 29th. Mitch will pick up Bill on a Flixbus.,41.03,13.16,35.9,88.58,32.32
244,Jones and Angelina will meet in town in the afternoon.,Jones and Angelina will meet today in the afternoon in town.,95.24,73.68,76.19,98.17,89.19
245,Derek and Alyssa make fun of Fergie's performance of the national anthem.,Alyssa likes Fergie's national anthem Illuminati. Derek saw it last week.,48.0,17.39,40.0,91.09,47.23
246,"Pam doesn't have rota for Lauren, but Manager may give Lauren more tomorrow. Pam and Lauren will meet tomorrow and discuss Lauren's holiday. ",Lauren needs Pam for tomorrow. She will call in the morning and let Lauren know if she has any more work.,34.78,0.0,26.09,88.44,31.48
247,Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,Harriette went ghost hunting once when she was in high school. She was in a run-down building in the neighbourhood and went to investigate it with her friends. She didn't find any ghosts.,44.78,18.46,23.88,91.59,50.17
248,Jack needs Kev's help as he cannot get the application running. ,Jack can't get the application running. Kev switched the computer on.,50.0,27.27,41.67,93.38,60.8
249,Dan wants to apologize to Angela. They will meet at school later.,Dan will text Angela back and she will explain everything if she agrees to meet up.,35.71,0.0,28.57,90.87,45.88
250,"Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.",Shaldona sends Piper her wedding invitation.,34.78,19.05,34.78,90.87,45.93
251,Paula and Ralph will meet the new person in an hour. ,Paula and Ralph will meet the new person in an hour.,100.0,100.0,100.0,100.0,100.0
252,"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.","Ania, Kasia, Jan and Zuzia are going to the church tomorrow.",46.15,27.03,41.03,94.56,67.76
253,"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",Ema is coming in 2 minutes. The movie has already started.,48.28,29.63,34.48,89.29,36.53
254,"In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.",The agreement will have a special legal status and will divide the seabed up.,51.85,34.62,48.15,92.6,56.16
255,Joe's job is wearing him up. Tim's friend Terry quit his job because he was burned out.,Joe's job gives him more work. Tim's friend Terry quit his job because he had problems sleeping.,68.42,55.56,68.42,95.12,71.06
256,"Natalie is checking if it's worth going to the new club at Regents Street. Denise thinks the club is great. Judy's friends also recommend the place, so Judy is going there this weekend. Natalie will go to the club with Judy, Miranda and Helen on Saturday.",Judy is going to a new club at Regents Street this weekend. Denise has been there a few times. Natalie wants to go with Judy. Judy is going on Saturday with Miranda and Helen.,63.41,30.0,41.46,93.55,61.78
257,"Jamie, Marlo, Jimmy and Alex's teacher requires their class to divide into 2 groups, each making a presentation. The teacher sent them the presentation subjects via e-mail. Jamie, Marlo, Jimmy and Alex consider dividing the class into groups by gender. ","Jamie, Marlo and Alex are discussing how to do presentations in groups.",22.22,7.69,22.22,89.86,39.93
258,John is in the park. He is leaving now.,John is at school. Nora talked to John's math teacher on the phone.,26.09,9.52,26.09,90.05,41.05
259,"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",Sara saw a huge crowd outside the book shop today. Louis's friend told him about a new writer. Louis can't remember the name of the writer.,28.0,8.33,28.0,88.99,34.76
260,Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,Debbie wants to buy a red dress. Denise suggests a green one. Kelly is considering buying the red one herself.,62.96,42.31,55.56,94.97,70.18
261,Emilia is still angry.,Emilia is still angry.,100.0,100.0,100.0,100.0,100.0
262,"Tom will help Mia buy a flight ticket as she doesn't have a credit card and doesn’t want to use Peter's now. Tom needs the flight, company and your personal data.",Mia doesn't have a credit card to buy a flight ticket. Tom will send her the link.,57.69,36.0,38.46,91.34,48.68
263,Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,Hugh has a toothache and needs a dentist urgently. Andy recommends ProDent in the centre.,51.28,27.03,46.15,93.35,60.59
264,"Before Christmas, Ella's mom won a hundred thousand in a lottery. Both Ella and Noah are excited.",Ella got a text from her mom. She won a hundred in the lottery.,50.0,13.33,43.75,92.25,54.06
265,"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",There was a car accident on the Circle Mall.,41.67,18.18,41.67,93.66,62.43
266,Rob and Bob are watching the game. Bob will run some errands on the weekend. Jim's birthday is next Wednesday. He might organize a meetup this weekend. Bob will see Rob on the weekend.,Bob is watching the game and has a few people over. Jim's birthday is next Wednesday. Jim is going skiing trip with his family this weekend. Bob will come to a meeting with his friends at a bar.,43.24,27.78,37.84,91.64,50.47
267,"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.","Julie, Debra and Jules are going to meet up again. The event is over the weekend.",40.0,6.06,34.29,89.94,40.39
268,Mike's had an accident on his motorcycle and he's broken his leg.,Mike had an accident on his motorcycle and broke his leg.,80.0,60.87,80.0,97.77,86.79
269,David was looking after Ethan's sister. Ethan is grateful. David won't do it again.  ,David went to Ethan's house to babysit. David's sister was naughty. David's phone was switched off.,34.29,12.12,28.57,89.27,36.4
270,"Conrad can't enter the house because he forgot his keys. Since Rebecca and Tiffany are coming back late, he'll wait in the coffee shop. ",Conrad forgot his keys and will wait in the coffee shop.,54.05,34.29,54.05,93.48,61.39
271,Clara and Ron are wondering what that weird smell at Kasia's place last night was.,There was a strange smell at Kasia's place last night.,59.26,48.0,51.85,94.48,67.32
272,"Holly is not feeling very well, so she's not coming to Jake's tonight. ",Holly doesn't feel well because she has caught the flu.,23.08,0.0,23.08,91.78,51.29
273,Ludmila's favourite dinosaur when she was little was the Triceratops.,Ludmila has a triceratops dinosaur. Jacopo will tell her why later.,27.27,0.0,18.18,91.64,50.49
274,"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.",Sean and Logan are going to the pub tonight.,47.37,44.44,47.37,93.49,61.43
275,"Someone left a phone at Liam's place, but it wasn't Indiana.",Liam left his phone at his place.,50.0,11.11,40.0,92.04,52.81
276,"Claire is ordering her wedding dress, adviced by Maria and Nicole.",Claire wants to buy a dress for her bride.,30.0,0.0,20.0,92.37,54.82
277,"Victor took over Chris's company, which was under a huge debt. He sold the office and did some changes but Chris still works there as Director. David's business goes very slow but he expects it to get better by the end of the year.",Victor has taken over Chris's company. Victor sold off the office and accommodated them in his office.,28.12,16.13,28.12,90.16,41.72
278,Patricia is recommending a fair-trade brand to Elle and Florence.,Patricia shares a fair-trade brand with Elle and Florence.,76.19,52.63,76.19,94.77,69.02
279,"Ethan didn't come to the party last night because he is in Los Angeles. Abigail didn't know about it. Ethan will be back in a couple of days, the he will reach out to Abigail.",Abigail didn't attend the part last night. Ethan is currently in Los Angeles. Ethan will be back in 3 or 2 days.,56.67,31.03,50.0,92.25,54.09
280,Stan is meeting the girl of his dreams today in Pat&Gill's. Later he's going to tell Dave how his date went.,Stan will take her to Pat&Gill's today.,36.36,12.9,24.24,91.21,47.9
281,Miro speaks Albanian with his parents. His family left Albania illegally in 1990s.,Miro's father came from Albania to the US in the early 1990s. He speaks only Albanian with his parents. Miro's father is from the seacoast of Albania.,45.45,19.05,31.82,91.57,50.05
282,"Julie has just watched a Japanese horror. She's alone at home and really scared. Paula and Rose are going to come to her place for a spontaneous sleepover. They'll drink cocoa and watch ""When Harry met Sally."" Rose will bring cookies.",Julie watched a Japanese horror movie and she's at home alone. Rose and Julie will have a spontaneous sleepover.,53.97,22.95,41.27,91.96,52.34
283,Lucy is panicking because her daughter is 15 now and she is not sure she is prepared as a mother.,Lucy's daughter is 15. Patricia's daughter turned 15.,26.67,14.29,26.67,90.94,46.29
284,"Dan,Tim, Chris and Martin will meet at 8. Dan and Martin will take it easy this time. Tom can't make it as he has a party at in-laws.","Dan, Tom and Martin are going out on Saturday at 8 pm. Dan needs to be home at 2 and ready to drive on Sunday at noon.",31.03,7.14,27.59,89.22,36.1
285,"Casey got a new nail polish and did her nails herself. It took her nearly 4 hours, so she won't do her friends' nails, as it takes too long.",Amelia wants to do her nails too. Casey did it herself and got a new nail polish. Kristen will do it for them too.,55.56,23.08,33.33,91.24,48.08
286,"Sharol forgot about her sociology assignment. She needs to research feminist act, and it's due tomorrow. Kate has already finished it, and she rushes Sharol.",Kate reminded Sharol about sociology assignment.,31.25,6.67,25.0,88.14,29.72
287,"Jack had to miss school because he is sick. Jamie was sick a lot last year but he got better thanks to doctor Tornez at City Medical Centre, next to the mall. Linda learns the school trip has been cancelled as many students are sick.","Jamie had a high fever and cough last year. Helen has a great perdiatrician, Dr Tornez, who treats every case individually. He is available at the City Medical Centre next to the mall.",46.15,21.05,33.33,89.63,38.53
288,Tim does not need mum for anything important at the moment.,Tim forgot about his mum.,25.0,0.0,25.0,91.97,52.44
289,Kate believes her boyfriend's mother dislikes her. He is a nerd who lives and has always lived with his mother and grandmother.,"Caroline's mother doesn't like her. Caroline's first husband is 26 but he lives at home with mummy and gramma. He used to spend all the time at home, so he lives at home with mummy and gramma.",28.57,3.28,25.4,89.09,35.34
290,Vincent's new lamp should be ready to be picked up on Tuesday.,Vincent broke Vincent's lamp with his bare hand.,27.27,10.0,27.27,89.18,35.89
291,"Nestor wanted to buy a laptop on Black Friday sales, but Olaf advise against it, as the prices in reality are not reduced. Nestor will check it if Olaf helps him to get a good deal from a guy he knows.",Nestor is thinking about buying a new laptop as Black Friday is approaching. Olaf is going to the mall tomorrow to check if the laptop he wants is cheaper.,37.14,2.94,28.57,90.8,45.49
292,"Nancy asks Vic and Phil about various social media, which prompts them to discuss and compare the different platforms. Phil is not into Instagram but likes Twitter. Vic prefers Facebook over Twitter and likes Instagram. Phil and Vic both don't use Tumblr. ",Nancy wants to learn how to read the news online. Vic prefers Facebook to Twitter. Phil doesn't want to use Instagram. Nancy wants to learn more about Tumblr.,36.11,5.71,30.56,90.37,42.95
293,"Amanda and Peter don't like what the man in dreads looks like, but Dan does.",The guy with dreads is awkward.,18.18,0.0,18.18,91.34,48.68
294,James will pick up the car after his work tomorrow. Sue already have sent him money. ,James will pick up Sue's car and pay for it tomorrow.,50.0,23.08,42.86,93.06,58.87
295,Jess is in a traffic jam in West Bronx.,Jess is in a traffic jam in West Bronx.,100.0,100.0,100.0,100.0,100.0
296,"Dima's laptop is broken, as her cat spilled coffee on the laptop. Dima is worried, because she has to deliver a translation for Trados tomorrow. Dima will come to Nada in an hour to borrow Nada's laptop. ",Dima's laptop is broken and she has to deliver a translation tomorrow. She will come to Nada in an hour to pick up her laptop.,67.69,50.79,64.62,93.53,61.67
297,"Afterwards, Kelly wandered around and met some people from school. She also met him. They almost didn't talk and he was with someone. ",Kelly and Betty went to the pub and met some people from school. They didn't talk about it.,55.81,34.15,51.16,93.01,58.57
298,Anne is inviting Adele for Easter. Adele will bring some chocolate eggs.,Adele went to Easter. Anne will invite Louise and Adele will bring chocolate eggs.,61.54,25.0,53.85,94.82,69.32
299,"Melody's 5-year-old laptop is broken. Tomorrow she'll know what's wrong. She won't be repairing it, because her laptop is too old. Instead, she'll buy a new one.",Peggy hasn't fixed her computer yet. Melody advises her to buy a new one.,28.57,12.77,24.49,89.88,40.05
300,Jerry will be home in 40 minutes. ,Jerry is coming home in 40 minutes. Janet's boss can be a bitch.,57.14,31.58,47.62,94.3,66.25
301,They are going to do some research on holiday options and discuss them later. They will most likely choose a cheap offer from a tour operator.,"Mark, Anna, George and Julia are going on a self-organized tour. They will choose a cheaper option from a tour operator.",50.0,26.09,45.83,90.95,46.37
302,"Del accused Stanley of having an affair, because he couldn't go with her this weekend due to his work. They've only been together for 4 months, so it's not a good sign. Now Bill and Stanley need to take care of the Lidem project. Division of tasks is on Stanley, because Alison is unreachable.","Stanley can't go for the weekend with her because of work. She was angry and didn't listen to him. She accused Stanley of having an affair. Stanley is finishing the analysis for the pervious one, but it should be done tonight.",44.0,14.29,22.0,88.84,33.89
303,Kimberly might have left her umbrella she got from her mother at the cafe yesterday. Laura gives her the cafe's phone number to check with the staff.,Kimberly left the cafe yesterday with her umbrella. Kimberly got the umbrella from her mom a few years ago.,51.06,17.78,29.79,90.29,42.47
304,Catherine applied for an accounting position at Pandora. Jake has been working there for 5 years. This job offers a clear career path and benefits. Jake got promoted twice with salary increase. Catherine will have an interview on Monday.,Jake applied for an accounting position at Pandora last week. He was promoted twice during these 5 years and the salary increase with each promotion is quite significant. The company is partly finances language and accounting courses. There is also an annual bonus that depends on your achievements and private healthcare. Jake got a call from his HR department yesterday and invited him to an interview on Monday.,44.86,24.76,29.91,90.3,42.52
305,Anna will go with Fiona to a doctor tomorrow at 8 a.m.,Anna and Fiona will go to a doctor's appointment tomorrow at 8 a.m.,85.71,53.85,78.57,98.02,88.27
306,Pipe under the wash basin exploded when Dan wanted to wash his hands. Andrea is going to write to the owner about it.,Dan washed his hands and the pipe under the washbasin exploded. Andrea will write to the owner.,60.0,31.58,45.0,94.91,69.86
307,Both Claire and Linda are making curry for dinner. ,Kim and Linda are cooking a meal for Claire.,55.56,25.0,44.44,94.21,65.66
308,Matt will be staying with homestay parents for one more month. They seem to talk more to Carlos. They have higher electricity bills because Matt spends a lot of time at home.,Matt's parents don't treat him well. They take Carlos for the subway.,21.74,0.0,17.39,88.03,29.1
309,"Ann thanks Katie for hosting her son Tim on Monday evening and driving him to the railway station next morning. Kate will send a message to Tim tomorrow, to ask about the place where she should be waiting for him.","Ann is hosting Tim Monday evening and dropping him off at the railway station next morning. Ann and Katie spent a week-end together in Saint Fargeau 20 years ago. Ann knows Ben since school. Katie remembers Ann's good friends calling Ann Cairns, Erik's wife and Ann's wife. Ann will send Katie's son a text message where she wants to pick him up tomorrow.",42.59,15.09,35.19,88.79,33.58
310,Ahmed wants Sharon to move in with him but she's afraid of her parents' reaction. Ahmed is angry.,Sharon's mother is angry and she's grounded. She's 19 and lives with her parents. She wants Ahmed to move in.,61.9,25.0,28.57,90.69,44.82
311,Rob is disappointed with memes he watches. Tom suggests he should get a girlfriend instead of complaining about the memes.,Rob doesn't know if he's getting dumber or how it feels to get older.,16.67,0.0,16.67,87.17,24.0
312,Mike will refill the hand sanitizer on Grace's request.,The hand sanitizer by the restrooms is empty. Mike will refill it.,54.55,40.0,27.27,93.75,62.95
313,"Cheryl had an argument with her mom. She forgot to close the window, got angry and started a fight. Her mom gave her time till the end of the year to move out.",Cheryl had an argument with her mother. She forgot to close the window when she was leaving home.,47.06,40.82,47.06,93.69,62.63
314,David lands at 17:30 at Sevilla airport and Victor will pick him up.,Victor will pick David up from the airport. David is landing at Sevilla at 17:30. Jerez was too expensive.,64.71,31.25,23.53,94.93,69.95
315,Ann wants to buy Josh's laptop for $200. Josh doesn't want to negotiate the price. Ann will take it for $250 with accessories. ,Josh will buy the laptop for 200 dollars. Ann will pick it up.,47.37,16.67,36.84,91.96,52.34
316,"Mike wants someone else to do the washing up this time. Sara agrees, but when she returns from the cinema she is at with Jack.",Sara will do the washing up with Mike and Jack.,45.71,18.18,34.29,90.1,41.34
317,Gary is a driver for Uber and he really enjoys it.,Gary wants to drive for Uber. He's meeting a lot of people.,41.67,9.09,33.33,93.39,60.84
318,Kristi needs new trainers. Leah has a link for a discount coupon at an online store.,Leah sent Kristi a 20% discount coupon. Leah will get some accumulated money for the shopping next time.,35.29,6.25,23.53,89.16,35.76
319,Steve is calling Sue at her request.,Steve will call Sue when he gets this.,26.67,0.0,26.67,92.21,53.85
320,Andre is shocked after reading the news about a bear attack at the zoo. Megan is not surprised that an animal kept in a cage reacted that way.,The bear attacked the zoo.,24.24,6.45,24.24,91.24,48.09
321,Barbara got the confirmation email from AES. Mick did not get the email and will call them.,Mick hasn't received the confirmation emai from AES yet.,37.04,16.0,29.63,89.51,37.84
322,"Allison send Alan budget estimation for this year. Extra other expenses are boss's trip to Japan, for a convention.","Alan's boss had to come back from Japan for the convention to double the costs in the line ""other expenses"".",43.9,10.26,29.27,88.17,29.88
323,Liam and Nate will meet spontaneously in 15 minutes.,Nate will come to Liam's place in 10 minutes.,52.63,11.76,42.11,92.43,55.12
324,Carl will compete in championship this year. Duncan can't miss this event. Carl will register his family members as VIP.,Carl won't let Duncan down in this year's championship because he didn't have the gearbox. Duncan and Carl will attend the championship.,39.13,9.09,30.43,90.02,40.89
325,Dinny's afraid of Terry's dog so he should keep it away.,Terry will take Dinny's dog away before she comes.,43.48,19.05,34.78,90.84,45.7
326,Anastasia sent her new school photos to Darrell.,Anastasia and Darrell are discussing their new school photos.,58.82,26.67,47.06,94.29,66.14
327,Kim is going with Jane to Seoul in April. Jane will be their tour guide.,Kim is going to Seoul in April. She's going with Jane who will be her tour guide.,78.79,58.06,72.73,96.88,81.54
328,Dad of Aubrianna's friend died of malaria in Kongo.,Aubrianna's friend's dad died of malaria in Congo.,80.0,55.56,70.0,96.48,79.16
329,"Josh is upset, because he lost his new sneakers on Tuesday. Josh has already called the gym, but they didn't find anything. Josh will check the swimming pool and give Mark a call.","Josh lost his new sneakers. He's been to many places, swimming pool and fitness, but he left them in the gym. Mark will try to check the swimming pool.",50.0,25.81,37.5,92.11,53.26
330,It's Valentine's day. Bella plans to order some pizza home. Aria will come to Warsaw as soon as she quits. This year Bella will probably go to Korea to get regular checkup. ,It's Valentine's Day. There are a lot of shops selling roses on the street. It's 3 degrees today. Coffee shops are decorated with all the heart-shaped balloons. This year Bella will probably go to Korea to get regular checkup.,44.16,40.0,44.16,90.34,42.74
331,No one wants to play ball with Sawyer tonight.,"Sawyer, Sutter and Wheeler are playing a game tonight. The pitch is booked at 8 pm.",16.0,0.0,16.0,87.67,26.95
332,Daina needs about an hour more to get ready.,Daina needs to put her make up for an hour.,52.63,23.53,42.11,91.86,51.78
333,Viola is having her wedding soon and still has some things to organize. Carmen comes on Friday and is willing to help Viola.,Carmen will be at Alfred's on Friday night.,18.75,6.67,18.75,87.14,23.8
334,Madeline is in conflict with Martin and Jada. Alex and Madeline will go for a beer tomorrow. Madeline will explain her issues with Martin and Jada to Alex.,Madeline is not happy with Martin's requests and Jada's way of dealing with his problems. Madeline and Alex had a little argument today. They are going for a beer tomorrow.,46.67,20.69,36.67,92.15,53.49
335,Mom wants Betty to call the grandfather from time to time.,Mom wants Betty to call Grandpa from time to time.,85.71,73.68,85.71,97.49,85.13
336,"William is making spaghetti alla vongole for dinner. It's an Italian dish and it involves pasta, garlic, wine and clams.",William will cook spaghetti alle vongole for dinner.,34.48,14.81,34.48,92.32,54.51
337,"Maria suggests to meet after the IMF lecture to discuss the presentation which is due on Monday. Maria, Alexander, Martha and Sarah will meet tomorrow at 17:15. Lawrence will be late.","Maria, Sarah and Lawrence will meet tomorrow at 17:15 to discuss the remaining questions after the IMF lecture.",66.67,44.9,31.37,93.93,64.04
338,Molly and Anna will go to the Muse concert in Cracow.,Molly has a free ticket to the Muse concert in Cracow. Anna doesn't want to go with her.,60.0,35.71,46.67,93.95,64.16
339,"Tabby has 2 exams next week. Laura passed all her exams but one. Tabby may come to Daisy's party on Saturday, depending on her studying progress. ",Tabby has two exams next week. She passed all but one of them. She's coming to Daisy's party on Saturday.,61.22,42.55,61.22,95.21,71.63
340,Becky and Trent are taking care of Joel's cat Coco. Coco likes them both and is behaving rather well so far. ,Coco is sitting on Becky's lap purring right now. It took them 2 days to win her over. Becky is very fond of Coco.,29.79,0.0,17.02,88.84,33.89
341,Sosie will be at Kyra's flat in 5 minutes. The flat number is 187.,Sosie will be at Kyra's apartment in 5 minutes.,72.0,60.87,72.0,94.87,69.61
342,"Ronnie uses three different bins for waste. He doesn't use straws, neither plastic bags. Clint and Ronnie agree that environment protection depends on the government. ","Ronnie and Clint are discussing the waste management system in the city. Ronnie's city banned plastic bags in grocery stores, straws in restaurants and dry recyclables.",33.96,3.92,18.87,89.59,38.3
343,Adam called Tina. She is at work. Her cell's battery's low. She will cal Adam later in the evening or tomorrow after 9 am.,Tina is still at work. She will call Adam tomorrow if it's too late.,43.9,10.26,39.02,89.72,39.1
344,Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.,Natalie told Jane and Greg about Natalie's pregnancy.,27.91,9.76,18.6,90.48,43.61
345,Nick will got some lunch for Steve - it can be anything but chicken. ,Nick will buy Steve lunch.,44.44,12.5,33.33,91.81,51.45
346,"Gemma will invite Timmy and his Date, as well as Lona and Michelle to her wedding.",Gemma wants to invite Timmy and her date to their wedding reception.,57.14,15.38,50.0,92.46,55.3
347,"Millie is sick, so she won't come today.",Millie is sick and won't come today.,82.35,66.67,82.35,98.12,88.85
348,Lisa isn't going home yet. Daisy wants her to be back before 11 p.m.,Daisy is not going home yet. She will be back before 11 pm.,55.17,37.04,48.28,94.9,69.78
349,Tina will make it for the bus that is leaving in 3 minutes.,The bus is leaving in 3 minutes. Tina is almost there.,66.67,45.45,58.33,94.55,67.72
