model,test_index,ref_event_id,model_event_id,alignment_score,weak_match,ref_speech_act,model_speech_act,ref_speech_category,model_speech_category,ref_intended_meaning,model_intended_meaning,ref_actor,model_actor,ref_action,model_action,ref_object,model_object,ref_recipient,model_recipient,ref_evidence,model_evidence,intended_similarity,action_similarity,evidence_similarity,error_type
aya32b,548,2.0,2.0,0.7750775193798449,False,update,statement,inform_update,inform_update,Rob says he also has the album ready to listen to.,Rob has the new album ready for his first listen.,Rob,,listen to,,new Dream Theater album,new Dream Theater album,,,"I have it here on my desk, ready for the first listening","I have it here on my desk, ready for the first listening.",0.6047619047619046,0.0,0.9969026548672566,
aya32b,548,3.0,3.0,0.734909697138094,False,commitment,promise,commitment_plan,commitment_plan,Steve says he will later tell Rob what he thinks of the album.,Steve will share his opinion on the album with Rob later.,Steve,Steve,share opinion,tell,album,opinion on the album,Rob,Rob,I'll tell you later what I think about it,"Ok, I'll tell you later what I think about it.",0.5014705882352941,0.041176470588235294,0.9456745311554748,
aya32b,548,,4.0,,,,promise,,,,Rob will also share his thoughts on the album with Steve later.,,Rob,,tell,,thoughts on the album,,Steve,,Same here.,,,,extra_model_event
aya32b,551,1.0,1.0,0.8218471183988425,False,request,request,question_request,question_request,Peter asks Joy to send him the link to her beauty shop.,Peter asks for the link to Joy's beauty shop.,Joy,,send,send,beauty shop link,link of your beauty shop,Peter,Joy,Can you send me the link of your beauty shop?,Can you send me the link of your beauty shop?,0.6993333333333334,1.0,1.0,
aya32b,551,2.0,3.0,0.6718983557548579,False,compliance,provision,other,other,Joy sends Peter the link to her beauty shop.,Joy provides the link to her beauty shop.,Joy,,send,is,beauty shop link,https:// *********,Peter,Peter,It is https:// *********,It is https:// ********,0.815294117647059,0.11666666666666665,0.9925531914893617,
aya32b,551,,2.0,,,,agreement,,,,Joy agrees to provide the link.,,,,,,,,,,Definitely,,,,extra_model_event
aya32b,590,1.0,1.0,0.4258962011771001,True,information request,announcement,question_request,other,Ethan asks who is going to see Sólstafir.,Informing the group about an upcoming Solstafir concert.,group,,go see,announcing,Sólstafir,Solstafir concert,,group,who's going to see solstafir?,Ethan: who's going to see solstafir?,0.12989690721649486,0.04375,0.9032167832167832,
aya32b,590,2.0,4.0,0.5373222748815166,False,commitment,confirmation,commitment_plan,agreement_confirmation,Leo says he is going to the concert.,Confirming his attendance at the concert.,Leo,Leo,go to,confirming,Sólstafir concert,Solstafir concert,,group,i'm going ofc!,Leo: i'm going ofc!,0.36753246753246754,0.04666666666666666,0.854112554112554,
aya32b,590,4.0,5.0,0.43032258064516127,True,uncertainty,tentative refusal,other,other,Noah wants to go but may have to stay late at work.,Expressing uncertainty about attending due to work commitments.,Noah,Noah,may stay late,considering not going,work,Solstafir concert,,group,i'll have to see might have to stay late at work,"Noah: that's a wednesday... ehh... Noah: i'll have to see, might have to stay late at work...",0.2589473684210526,0.061764705882352944,0.7490121580547113,
aya32b,590,3.0,,,,information,,,,Ethan says the concert is on 21.11.,,Sólstafir,,play,,concert on 21.11,,,,21.11,,,,,omitted_reference_event
aya32b,590,,2.0,,,,expression of interest,,,,Expressing surprise and interest in the concert.,,,,expressing interest,,Solstafir concert,,Ethan,,Noah: solstafir! when?,,,,extra_model_event
aya32b,590,,3.0,,,,declination,,,,Stating that he is not going to the concert.,,Archie,,declining,,Solstafir concert,,group,,Archie: I'm not :D.,,,,extra_model_event
aya32b,590,,6.0,,,,commitment,,,,Committing to letting the group know if he can attend.,,Noah,,promising to inform,,his attendance decision,,group,,"Noah: i'll see and let you know, it would really suck to miss them",,,,extra_model_event
aya32b,598,1.0,1.0,0.45679012345679015,False,information sharing,sharing,inform_update,other,Bradley shares that a cat invaded the pitch at Goodison.,showing a funny incident involving a cat on the pitch,cat,,invaded,sharing a file,pitch at Goodison,cat invasion video,,"Jill, Julia",a cat invaded the pitch at Goodison,haha look a cat invaded the pitch at Goodison <file_other>,0.4077064220183487,0.1333333333333333,0.7689964157706093,
aya32b,598,2.0,4.0,0.5044117647058823,False,information sharing,sharing,inform_update,other,Jill shares a video of the cat.,providing more content related to the incident,Jill,,share,sharing a video,video,cat invasion video,group,"Bradley, Julia",here's the video,here's the video :D <file_other>,0.2292207792207792,0.175,0.6666666666666666,
aya32b,598,3.0,3.0,0.6173708920187795,False,evaluation,description,other,other,Julia thinks the cat is sweet.,describing the cat as sweet and funny-looking,Julia,,describe,,cat,the cat,,,what a sweet little black ball of fur,what a sweet little black ball of fur,0.4559047619047619,0.0,1.0,
aya32b,598,,2.0,,,,acknowledgement,,,,finding the video amusing,,,,,,,,,,hahahaha,,,,extra_model_event
aya32b,598,,5.0,,,,commentary,,,,highlighting the entertainment value of the incident for Everton fans,,,,,,the commentary,,,,that's the best entertainment Everton fans have had all season :D,,,,extra_model_event
aya32b,605,1.0,1.0,0.6669463087248322,False,invitation,invitation,suggestion_invitation,suggestion_invitation,Barbara tells Sean and Zac they can come over because she is home.,Inviting Sean and Zac over to her place.,Sean and Zac,,come over,coming over,Barbara's place,Barbara's home,,"['Sean', 'Zac']","I'm home already, you can come over","I'm home already, you can come over",0.4193171608265948,0.605,1.0,
aya32b,605,2.0,2.0,0.6803465982028242,False,permission request,request,question_request,question_request,Sean asks whether he may bring the dog.,Asking for permission to bring his dog.,Sean,,bring,bringing,dog,the dog,Barbara,Barbara,May I bring the dog?,May I bring the dog?,0.3528205128205128,0.2692307692307692,1.0,
aya32b,605,3.0,4.0,0.6571004243281471,False,permission,permission,other,other,Barbara allows Sean to bring the dog.,Granting Sean permission to bring his dog.,Sean,,bring,bringing the dog,dog,the dog,Barbara,Sean,"sure you can, Sean",sure you can,0.5752260397830018,0.16666666666666666,0.8371428571428572,
aya32b,605,4.0,5.0,0.7811475409836066,False,offer,offer,commitment_plan,commitment_plan,Barbara asks whether Sean wants to stay overnight.,Offering Sean to stay overnight.,Sean,,stay overnight,staying overnight,Barbara's place,at Barbara's,,Sean,do you want to stay overnight?,do you want to stay overnight?,0.6219512195121951,0.6411290322580645,1.0,
aya32b,605,,3.0,,,,confirmation,,,,Confirming that he is on his way to Barbara's.,,Zac,,being on the way,,,,Barbara,,I'm on my way,,,,extra_model_event
aya32b,605,,6.0,,,,acceptance,,,,Accepting the offer to stay overnight.,,Sean,,staying overnight,,at Barbara's,,Barbara,,great! I thought about it,,,,extra_model_event
aya32b,616,1.0,1.0,0.6430953704438973,False,announcement,announcement,other,other,Jake says he pulled his first TOTW player this year.,Jake pulled a TOTW card for the first time this year.,Jake,Jake,pulled,pulling a TOTW card,TOTW player,,,,I just pulled a TOTW my first this year,"dude, I just pulled a TOTW",0.5914285714285713,0.13999999999999999,0.6487179487179489,
aya32b,616,2.0,3.0,0.8002143505903725,False,decision,confirmation,other,agreement_confirmation,Jake plans to sell the player after trying him in a few matches.,Jake confirms he will sell the card after trying it in a few matches.,Jake,Jake,sell,selling the card,TOTW player,TOTW card,,,yeah I'll try him in one or two matches he's not a good fit for my squads,yeah I'll try him in one or two matches he's not a good fit for my squads,0.712280701754386,0.13999999999999999,1.0,
aya32b,616,3.0,6.0,0.7630866425992779,False,complaint,complaint,other,other,Tom complains that he has had bad pull luck this year.,Tom complains about his lack of luck in pulling great players.,Tom,,lack,,great players,,,,my pull luck sucks this year not a single great player,my pull luck sucks this year not a single great player,0.3824451410658307,0.0,1.0,
aya32b,616,,2.0,,,,congratulation,,,,Tom congratulates Jake on his pull.,,,,,,,,Jake,,grats!,,,,extra_model_event
aya32b,616,,4.0,,,,assurance,,,,Tom assures Jake he will have enough coins to buy a better-fitting player.,,,,,,,,Jake,,you'll have plenty of coins to buy someone that fits,,,,extra_model_event
aya32b,616,,5.0,,,,agreement,,,,Jake agrees with Tom's assurance and expresses luck.,,,,,,,,,,that's the plan I got lucky with this one,,,,extra_model_event
aya32b,621,1.0,1.0,0.6169589392643285,False,gratitude,greeting and thanks,other,emotion_social,Phil thanks Deana for the card and says Constantine was happy.,Expressing gratitude for a gift.,Deana,,sent,,card,nice card,Phil and Constantine,Deana,Many thanks for this nice card Constantine was very happy,Good evening Deana! Many thanks for this nice card from you. Constantine was very happy!,0.1780585106382979,0.0,0.7951724137931034,
aya32b,621,2.0,2.0,0.5933690775796039,False,information request,question,question_request,question_request,Phil asks whether the sunglasses also belong to Deana.,Inquiring about the ownership of sunglasses.,Deana,,own,,sunglasses,sunglasses,,Deana,Are these sunglasses also from you?,Are these sunglasses also from you?,0.3161904761904762,0.0,1.0,
aya32b,621,3.0,3.0,0.34321162151550844,True,denial,denial,other,other,Deana says the sunglasses are not hers and thought they belonged to Cathreen.,Denying ownership of the sunglasses.,Deana,,does not own,,sunglasses,sunglasses,,,I thought they belonged your Cathreen Mine either,"Mine either. Look, maybe you feel like keeping them?",0.27453294001966566,0.0,0.2291788002329645,
aya32b,621,4.0,6.0,0.4238169014084508,True,decision,agreement,other,agreement_confirmation,Phil says they will look after the sunglasses because no one knows who owns them.,Agreeing to look after the sunglasses as no one claims ownership.,Phil,Phil,keep,looking after,sunglasses,sunglasses,,,they don't belong to any of us we can look after these sunglasses,"Ok, they don't belong to any of us, and nobody else drove your car. But we can look after these sunglasses.",0.5301369863013699,0.08235294117647059,0.761593707250342,
aya32b,621,,4.0,,,,suggestion,,,,Suggesting Phil keeps the sunglasses.,,Phil,,keeping,,sunglasses,,,,"Look, maybe you feel like keeping them?",,,,extra_model_event
aya32b,621,,5.0,,,,statement,,,,Identifying the location where she found the sunglasses.,,,,finding,,sunglasses,,,,In this empty place above the radio. In the very back.,,,,extra_model_event
aya32b,649,1.0,1.0,0.49394466174127194,False,problem report,reporting a problem,inform_update,inform_update,Callan reports that something is wrong with his Samsung S8 because it only shows a black screen.,Callan's Samsung S8 is malfunctioning.,Samsung S8,,shows,reporting an issue,black screen,Samsung S8,,Wade,Something's wrong with my Samsung S8 All I get is a black screen,Something's wrong with my Samsung S8.,0.30786974219810037,0.0608695652173913,0.6600312662845231,
aya32b,649,2.0,3.0,0.43472222222222223,True,explanation,explaining the issue,commitment_plan,inform_update,Callan thinks the phone overheated and needs time to restart.,The phone displays a black screen and might be overheating.,Samsung S8,,overheats,explaining,,the problem,,Wade,It overheats takes a while for it to restart again,All I get is a black screen. It overheats and then it takes a while for it to restart again.,0.31166666666666665,0.07368421052631578,0.67981220657277,
aya32b,649,3.0,4.0,0.6342783290252647,False,decision,stating a plan,other,commitment_plan,Callan will take the phone to the store because it is still under warranty.,Callan decides to take the phone to the store for repair.,Callan,,take,taking the phone to the store,phone to store,Samsung S8,,,I'm going to the store It's still under warranty,I'm going to the store and let them see it. It's still under warranty.,0.5867272727272728,0.08484848484848484,0.7934414148857776,
aya32b,649,,2.0,,,,requesting details,,,,Wade asks for more information about the problem.,,,,asking,,details about the problem,,Callan,,"What, exactly?",,,,extra_model_event
aya32b,649,,5.0,,,,expressing concern,,,,Wade asks about potential data loss during the repair process.,,,,asking about data backup,,data on the phone,,Callan,,Will you lose all your stuff?,,,,extra_model_event
aya32b,649,,6.0,,,,reassuring,,,,Callan confirms that their files are backed up.,,,,reassuring,,data backup,,Wade,,"No, I always back up my files.",,,,extra_model_event
aya32b,676,1.0,1.0,0.5863351648351648,False,problem report,complaint,inform_update,other,Anna tells Joanna that she has had a bad stomachache since night.,Anna has a severe stomachache that started at night and hasn't stopped.,Anna,Anna,has,experiencing a stomachache,awful stomachache,,,Joanna,"I have a awful stomachache At night, and it won’t stop","Mum, I have a awful stomachache.",0.4948529411764706,0.04827586206896552,0.5727390180878553,
aya32b,676,2.0,2.0,0.6413642052565708,False,hypothesis,inquiry,other,question_request,Joanna considers possible causes of Anna's stomachache.,Trying to identify the cause of Anna's stomachache.,Joanna,,consider,asking questions,cause of stomachache,possible causes of the stomachache,,Anna,Is it something you ate? Maybe the milk was bad,Is it something you ate?,0.49773584905660373,0.0875,0.6699530516431925,
aya32b,676,3.0,6.0,0.6985445311532269,False,suggestion,proposal,suggestion_invitation,suggestion_invitation,Anna suggests seeing a doctor if the stomachache does not improve.,Proposing a visit to the doctor if the stomachache persists.,Anna,Anna,see,proposing,doctor,seeing a doctor,,Joanna,"If not, maybe we should go and see a doctor","If not, maybe we should go and see a doctor.",0.515079365079365,0.05833333333333333,0.9959770114942529,
aya32b,676,4.0,8.0,0.7559503459503459,False,offer,offer,commitment_plan,commitment_plan,Anna offers to make Joanna hot tea with fresh mint leaves.,Offering to make tea with fresh mint leaves for Joanna.,Anna,Anna,drink,offering,hot tea with fresh mint leaves,hot tea with fresh mint leaves,,Joanna,I’ll get you a hot tea with some fresh mint leaves,I’ll get you a hot tea with some fresh mint leaves. Hope it will help.,0.749220396123051,0.16153846153846155,0.8488095238095239,
aya32b,676,,3.0,,,,uncertainty,,,,Anna is unsure if her meal was the cause.,,,,expressing uncertainty,,the cause of her stomachache,,Joanna,,Maybe. I'm not sure.,,,,extra_model_event
aya32b,676,,4.0,,,,suggestion,,,,Suggesting possible causes for Anna's stomachache.,,,,suggesting,,bad milk or banana as potential causes,,Anna,,Maybe the milk was bad. Maybe the banana was bad.,,,,extra_model_event
aya32b,676,,5.0,,,,rejection,,,,Dismissing Joanna's suggestions as unlikely causes.,,Anna,,rejecting suggestions,,bad milk and banana,,Joanna,,"It didn't smell bad. No, the banana was delicious.",,,,extra_model_event
aya32b,676,,7.0,,,,agreement,,,,Agreeing with Anna's proposal to see a doctor.,,,,agreeing,,seeing a doctor,,Anna,,"Yeah, I think so...",,,,extra_model_event
aya32b,678,1.0,2.0,0.37321739130434783,True,location update,location response,inform_update,other,Kate tells Sam that she is downstairs.,Inform Sam of her location,Kate,,be located,,downstairs,,,Sam,downstairs,downstairs,0.22864583333333333,0.0,1.0,
aya32b,678,3.0,4.0,0.6014082448104474,False,information sharing,observation sharing,inform_update,other,Kate tells Sam about a woman making an explicit marzipan cake.,Share an observation about a cake with a penis on it,woman,,make,,cake with explicit decoration,cake with a huge penis,,Sam,there was a huge penis on it made of marzipan,there was a huge penis on it made of marzipan or sth,0.32846889952153113,0.0,0.9156513589503281,
aya32b,678,2.0,,,,location update,,,,Jeff says they are in the little room next to the reception.,,Kate and Jeff,,be located,,little room next to the reception,,,,We're in the little room next to the reception,,,,,omitted_reference_event
aya32b,678,,1.0,,,,location inquiry,,,,Ask for Kate's location,,,,,,,,Kate,,Where are you?,,,,extra_model_event
aya32b,678,,3.0,,,,invitation,,,,Invite Sam to come downstairs,,Sam,,come down,,,,,,"sure, come down",,,,extra_model_event
aya32b,678,,5.0,,,,information sharing,,,,Share information about the cake being ordered with specific details,,,,,,cake order details,,Sam,,Somebody ordered a cake with a huge penis with balls and chocolate hair,,,,extra_model_event
aya32b,678,,6.0,,,,expression of interest,,,,Express desire to see the cake,,Sam,,see the cake,,cake with a huge penis,,,,I must see it!,,,,extra_model_event
aya32b,690,2.0,2.0,0.43155752867184605,True,political criticism,opinion,other,other,Karine argues that Trump's strategy is populist and based on scaring people with a minority.,"Trump is not senile, but strategically using populism.",Trump,null,uses,using populist strategy,populist strategy,Trump,,group (implied),populist strategy to scare people with a minority,this populist strategy to scare people,0.18597379392495533,0.07777777777777777,0.7298029556650246,
aya32b,690,4.0,4.0,0.6089720549914638,False,call to action,agreement,other,agreement_confirmation,Mia says they should do anything to win the next elections.,Agreement with Karine's proposal to take action.,"Mia, Jennifer, Karine and Peter",group (implied),try to win,do anything to win elections,next elections,next elections,,null,we should do anything to win the next elections,we should do anything to win the next elections,0.2030633437175493,0.47236842105263155,1.0,
aya32b,690,1.0,,,,complaint,,,,Mia complains about Trump repeatedly talking about the wall.,,Trump,,keeps talking about,,the wall,,,,he keeps talking about the stupid wall,,,,,omitted_reference_event
aya32b,690,3.0,,,,agreement,,,,Peter agrees with Karine that Trump is more dangerous than merely senile or stupid.,,Peter,,agree,,Karine's criticism,,,,Karine is right,,,,,omitted_reference_event
aya32b,690,,1.0,,,,assertion,,,,Trump's actions are deliberate and dangerous.,,null,,"destroying the Earth, shaking world order",,null,,group (implied),,unfortunately it's much more he is destroying the Earth trying to shake the world's order,,,,extra_model_event
aya32b,690,,3.0,,,,proposal,,,,The group should work towards changing the current situation.,,group (implied),,change it,,null,,null,,but we have a chance to change it,,,,extra_model_event
aya32b,690,,5.0,,,,commitment,,,,Karine commits to doing everything to bring about change.,,Karine,,everything,,changing the situation,,group (implied),,everything!,,,,extra_model_event
aya32b,711,1.0,1.0,0.6280952380952382,False,preference question,preference inquiry,question_request,question_request,Pedro asks Alex to choose between Batman and Superman.,Asking for Alex's preference between Batman and Superman.,Alex,,choose,,Batman or Superman,,,Alex,batman or superman??,batman or superman??,0.5581346051934287,0.0,1.0,
aya32b,711,2.0,2.0,0.6903645833333334,False,preference,preference declaration,other,other,Alex says he prefers the Flash instead.,Stating that he likes the Flash instead of Batman or Superman.,Alex,,prefer,,the Flash,the Flash,,,neither i honestly like the flash,honestly.. neither i honestly like the flash,0.4829482948294829,0.0,0.8999999999999999,
aya32b,711,3.0,,,,justification,,,,Alex argues that the Flash is powerful because his speed opens up the multiverse.,,Flash,,access,,multiverse,,,,that speed opens up the whole multiverse for him,,,,,omitted_reference_event
aya32b,711,,3.0,,,,surprise expression,,,,Expressing surprise at Alex's preference.,,,,,,,,Alex,,WHAT??,,,,extra_model_event
aya32b,711,,4.0,,,,explanation,,,,Explaining why he likes the Flash.,,,,explaining,,the Flash's abilities,,Pedro,,"duuude, he can do almost anything that speed opens up the whole multiverse for him.. you seriously dont get how powerful he can be",,,,extra_model_event
aya32b,711,,5.0,,,,acknowledgement,,,,Acknowledging Alex's point.,,,,,,,,Alex,,yeah i get your point,,,,extra_model_event
aya32b,737,1.0,1.0,0.7856521739130434,False,request,request,question_request,question_request,Damian asks Ethan to buy him a kebab because he is starving.,Ask Ethan to buy a kebab for him.,Ethan,Ethan,buy,buy,kebab,kebab,Damian,Damian,can you buy me a kebab? i'm starving,can you buy me a kebab?,0.6082795698924731,1.0,0.8300242130750606,
aya32b,737,2.0,2.0,0.6152489177489178,False,complaint,complaint,other,other,Ethan complains that Damian depends on him instead of cooking.,Expresses dissatisfaction with Damian's reliance on him.,Damian,,not cook,,food,,,Damian,why won't you cook something for both of us such a parasite,"why won't you cook something for both of us, huh? i really wish you weren't such a parasite",0.2775174476570289,0.0,0.7953333333333333,
aya32b,737,3.0,,,,acceptance,,,,Ethan agrees to buy Damian a kebab.,,Ethan,,buy,,kebab,,Damian,,ok ok,,,,,omitted_reference_event
aya32b,737,,3.0,,,,promise,,,,Promises to change his behavior.,,Damian,,change,,behavior,,,,"i'll change, scout's honour",,,,extra_model_event
aya32b,767,1.0,1.0,0.7351896690879742,False,invitation,invitation,suggestion_invitation,suggestion_invitation,Barry asks whether anyone wants to join the Women's strike march.,inviting others to join him at the Women's strike march,group,Barry,join,marching in the Women's strike,Women's strike march,,,all participants,"I'm gonna go march in Women's strike, anyone interested?","I'm gonna go march in Women's strike, anyone interested?",0.5989285714285713,0.041176470588235294,1.0,
aya32b,767,2.0,2.0,0.4601612903225807,False,acceptance,acceptance with alternative plan,agreement_confirmation,agreement_confirmation,Jake is going and invites Barry to join his friends.,accepts the invitation but suggests joining his friends instead,Barry,Jake,join,joining friends at the march,Jake and friends,,,Barry,I am wanna join?,"I am, already made plans with some friends, wanna join?",0.3194508009153318,0.0875,0.5291750503018109,
aya32b,767,3.0,3.0,0.6449494949494949,False,acceptance,acceptance,agreement_confirmation,agreement_confirmation,Dave will also join and Kelly is coming with him.,accepts the invitation and mentions bringing Kelly,Dave and Kelly,Dave,come,marching in the Women's strike,Women's strike march,Kelly,,Barry,I am down too Kelly is coming with me,"I am down too, Kelly is coming with me",0.27314319667260845,0.08235294117647059,0.9953333333333334,
aya32b,767,4.0,4.0,0.424983164983165,True,plan,suggestion,commitment_plan,suggestion_invitation,Barry proposes meeting around campus at noon.,suggests a meeting point and time for the group,"Barry, Jake, Dave and Kelly",all participants,meet,meeting,around campus at noon,campus,,all participants,meet around the campus at noon,Let's just meet around the campus at noon,0.21059782608695649,0.2545454545454545,0.8529175050301812,
aya32b,799,1.0,1.0,0.5227741466957153,False,request,request for information,question_request,question_request,Martha asks Ophelia where she got the lenses in her profile picture.,Inquire about the source of Ophelia's lenses.,Ophelia,,provide information about,,lenses,lenses from Ophelia's profile picture,Martha,Ophelia,do you mind if I ask you about the lenses from your profile picture?,"We don't, but do you mind if I ask you about the lenses from your profile picture?",0.27312529110386585,0.0,0.9044301075268817,
aya32b,799,3.0,2.0,0.4452349582784365,True,answer,provision of information,other,inform_update,Ophelia tells Martha the lenses are from Crazy Lenses.,Provide details about the lenses.,Ophelia,,got,,lenses from Crazy Lenses,Crazy Lenses,,Martha,it's from Crazy Lenses,it's from Crazy Lenses. They have quite reasonable prices and very fast shipping.,0.3466338259441708,0.0,0.4553969160479726,
aya32b,799,2.0,,,,preference,,,,Martha likes the lenses and wants to buy similar ones.,,Martha,,buy,,similar lenses,,,,they are awesome I would like to buy the similar ones,,,,,omitted_reference_event
aya32b,799,,3.0,,,,expression of gratitude,,,,Thank Ophelia for the information.,,,,,,,,Ophelia,,Thanks!!! I'll check them :),,,,extra_model_event
aya32b,800,1.0,1.0,0.5608403606760851,False,request,request for information,question_request,question_request,Linda asks Michael which flowers her mother likes.,Seeking advice on what flowers to buy for her mother.,Linda,null,asks,asking about flower preferences,flower choice,mother's flower likes,Michael,Michael,I want to buy flowers for mum I don't remember which one she likes,"Hi Dad, I want to buy flowers for mum! But I don't remember which one she likes :(",0.42055016181229765,0.07999999999999999,0.8992589363557106,
aya32b,800,4.0,5.0,0.3783050978571981,True,recommendation,evaluation and recommendation,suggestion_invitation,suggestion_invitation,Michael recommends freesias because Linda's mother likes them a lot.,Evaluating the sent photos and recommending freesias.,Linda,null,buy,approving flowers,freesias,freesias,Linda's mother,Linda,What about freesias? She likes them a lot Take those!,"Tulips are nice, roses too... What about freesias? She likes them a lot, are there any there?... Take those!",0.20952843947496355,0.0,0.6787106446776612,
aya32b,800,2.0,,,,suggestion,,,,Michael suggests tulips and roses as nice options.,,Michael,,suggest,,tulips and roses,,,,"Tulips are nice, roses too",,,,,omitted_reference_event
aya32b,800,3.0,,,,rejection,,,,Michael rejects carnations as boring.,,Michael,,not choose,,carnations,,,,"No, carnations are boring",,,,,omitted_reference_event
aya32b,800,,2.0,,,,information provision,,,,Informing Linda that her mother likes all flowers.,,null,,stating flower preference,,all flowers,,Linda,,"Well, she likes all the flowers I believe",,,,extra_model_event
aya32b,800,,3.0,,,,clarification request,,,,Seeking more specific advice as 'all flowers' is not helpful.,,null,,requesting further input,,more specific flower suggestions,,Michael,,That doesn't help! I'm on a flower market right now!,,,,extra_model_event
aya32b,800,,4.0,,,,suggestion,,,,Suggesting Linda send photos of available flowers for better advice.,,Linda,,sending photos,,<file_photo>,,Michael,,Send me some pics then,,,,extra_model_event
qwen27b,23,1.0,1.0,0.783915632398307,False,disclosure,statement,inform_update,inform_update,Anne confirms that Mark lied to her about his age.,Anne reveals that Mark lied about his age.,Mark,Mark,lied about age,lied about age,age,age,Anne,Anne,he told me he's 30 he's 40,"he told me he's 30, today I saw his passport - he's 40",0.7870772946859903,1.0,0.7064473684210526,
qwen27b,23,,2.0,,,,question,,,,Irene questions the significance of the lie.,,,,questioning importance,,the lie,,Anne,,You sure it's so important?,,,,extra_model_event
qwen27b,23,,3.0,,,,assertion,,,,Anne insists that the lie is a critical issue.,,,,emphasizing betrayal,,the lie,,Irene,,he lied to me Irene,,,,extra_model_event
qwen27b,30,1.0,1.0,0.9743589743589742,False,request,request,question_request,question_request,Mary asks Carter to lend her some money.,Mary asks Carter to lend her money.,Carter,Carter,lend money,lend money,money,money,Mary,Mary,lend me a few box,lend me a few box,0.9333333333333333,1.0,1.0,
qwen27b,30,2.0,2.0,0.8474403927068723,False,commitment,commitment,commitment_plan,commitment_plan,Carter agrees to lend Mary money in about an hour.,Carter agrees to lend the money but needs an hour to arrive.,Carter,Carter,lend money,lend money,money,money,Mary,Mary,"okay, give me an hour","okay, give me an hour",0.6745454545454546,1.0,1.0,
qwen27b,39,1.0,1.0,0.36905403382727137,True,update,statement,inform_update,inform_update,Tina says her flight was delayed and she will take the evening flight home.,Tina reports being delayed at the airport and catching a late flight home.,Tina,Tina,catch evening flight,catching evening flight,evening flight back home,flight,,,I'll catch the evening flight back home,they've kept us one hour in the plane and finally I'll catch the evening flight back home,0.49090231170768084,0.7589147286821705,0.5924479166666667,
qwen27b,39,2.0,2.0,0.7651650692225771,False,update,statement,inform_update,inform_update,Ala says she is on her way to an important meeting.,Ala states they are currently traveling to an important meeting.,Ala,Ala,go to meeting,going to meeting,meeting,meeting,,,"I'm on my way to a meeting Yes, keep your finger crossed","And I'm on my way to a meeting Yes, keep your finger crossed",0.5408281573498964,0.7471264367816092,0.9619310344827587,
qwen27b,39,3.0,3.0,0.4546131386861314,False,commitment,request,commitment_plan,question_request,Ala agrees to stay in touch about how the meeting goes.,Tina asks Ala to provide an update on the meeting's result.,Ala,Ala,update Tina,informing about outcome,meeting outcome,meeting result,Tina,Tina,"Ok darling, in touch",let me know how did it go,0.34920255183413074,0.061764705882352944,0.12444444444444444,
qwen27b,65,1.0,1.0,0.7585884795018163,False,suggestion,proposal,suggestion_invitation,suggestion_invitation,Ana suggests that she and Catherine visit grandma tomorrow.,Ana suggests visiting their grandmother tomorrow.,Ana and Catherine,Ana and Catherine,visit grandma,visit,grandma,grandma,,grandma,Wanna go visit grandma tomorrow?,Wanna go visit grandma tomorrow?,0.48685185185185187,0.6277777777777778,1.0,
qwen27b,65,3.0,2.0,0.5606408417025346,False,commitment,acceptance,commitment_plan,agreement_confirmation,Catherine says she will call Ana after waking up.,Catherine agrees to the plan and commits to contacting Ana the next morning.,Catherine,Catherine,call,call,,,Ana,Ana,I'll call you when I wake up,Yeah that would be nice I'll call you when I wake up,0.2973818181818182,1.0,0.7239473684210526,
qwen27b,65,2.0,,,,acceptance,,,,Catherine agrees to visit grandma with Ana.,,Catherine,,go with Ana,,visit grandma,,Ana,,Yeah that would be nice,,,,,omitted_reference_event
qwen27b,66,1.0,1.0,0.7466843736166446,False,information sharing,sharing,inform_update,other,Joyce shares a link about a cheap ticket or deal.,Joyce shares a link to a low-cost offer.,Joyce,Joyce,share link,shares,link,link,Michael and Edson,Michael and Edson,Check this out! <link>,Check this out! <link>,0.57806031933767,0.21875,1.0,
qwen27b,66,2.0,3.0,0.7460905349794238,False,decision,committing,other,commitment_plan,Edson decides to book a ticket immediately.,Edson decides to purchase a ticket immediately based on the offer.,Edson,Edson,book ticket,booking,ticket,ticket,,,I'm booking my ticket now!!,I'm booking my ticket now!!,0.6837920489296635,0.19444444444444445,1.0,
qwen27b,66,,2.0,,,,commenting,,,,Michael acknowledges the low price of the offer.,,Michael,,comments,,price,,,,That's cheap!,,,,extra_model_event
qwen27b,67,2.0,1.0,0.4559176672384219,False,request,proposal,question_request,suggestion_invitation,Jane asks Steven to meet earlier at 4:30 instead of 5.,Jane suggests changing the meeting time to 4:30 to avoid stress due to travel distance.,Jane and Steven,Jane,meet,propose new meeting time,4:30 instead of 5,4:30,,Steven,let's meet at 4:30 instead of 5,"let's meet at 4:30 instead of 5, ok?",0.3495440729483283,0.09999999999999999,0.9356453028972783,
qwen27b,67,3.0,2.0,0.6185123966942149,False,acceptance,acceptance,agreement_confirmation,agreement_confirmation,Steven agrees to meet Jane at 4:30.,Steven agrees to the proposed time change.,Jane and Steven,Steven,meet,accept new meeting time,4:30,4:30,,Jane,we can meet at 4:30,"ok, if u reaaly want, we can meet at 4:30",0.47818181818181815,0.10370370370370369,0.6804901960784313,
