,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
146,威廉斯先生邀请布莱尔女士喝咖啡。他们下午2点去布莱尔最喜欢的咖啡店，就在广场附近的小巷里。,威廉斯先生和布莱尔女士下午2点去喝咖啡,59.02,47.46,55.74,79.12
147,现在瑟琳娜的皮肤状况已经很好了，不用再吃药。蒂娜也有类似的情况，但每天都要服药。如果她有问题，可以打电话给瑟琳娜。,杰夫的皮肤状况很好 蒂娜病情相同 每天吃药,40.0,23.53,37.14,71.75
148,克里斯蒂娜、埃斯特凡尼亚和珍妮特正在看《全美超模大赛》。,Kristina、Jannette和Estefania正在电视上观看美国顶级模特。,34.15,5.13,29.27,65.56
149,丹尼尔今天要去博洛尼亚。他得在那里转机。他会在机场停留两小时。西蒙尼将在12月拜访马可。,丹尼尔今年秋天要来博洛尼亚 他会在机场待两个小时 西蒙妮可能12月来一个周末,62.16,44.44,59.46,80.48
150,迈克两小时后给戴尔回电话。,麦克现在不能说话 他两小时后会给戴尔回电话,68.75,53.33,68.75,82.1
151,蒂米今天工作不顺利。周末到杰玛家烧烤的时候他会带些酒过去。,"Gemma周末要举办烧烤会,Timmy会带些酒来,其他人会把食物包起来。",34.62,20.0,30.77,68.88
152,帕特晚上9点左右到。巴特会给他开门，早上从家里去上班。,帕特晚上九点左右会来 帕特没赶上火车 帕特有个舞台项目要完成 巴特会为帕特开门 帕特明天在家工作,41.18,24.24,38.24,74.44
153,艾琳会和阿什莉在餐厅见面接受采访。,阿什利在营地 艾琳会在餐厅见她,60.0,42.86,46.67,77.85
154,玛丽亚、凯特、汤米和萨姆要去参加一个会议。汤米会用prezi而不是powerpoint展示。他购买了prezi的会员，每月10美元。,Tommy会准备一个电源点 Tommy每月要付10美元,30.51,14.04,23.73,63.89
155,麦克斯韦花钱请珍尼斯做8个小时的临时保姆，并表示能请到她真是谢天谢地。麦克斯韦的儿子在学校里和朋友争论，当老师制止他们时，他变得很愤怒。但是珍尼斯还没注意到他最近有没有奇怪的举动。麦克斯韦和珍尼斯可以找时间喝杯咖啡，讨论一下所有的问题。,马库斯最近表现得很奇怪 珍妮斯和麦克斯威尔会见面喝杯咖啡,26.28,11.85,18.98,64.48
156,迈克、汤姆和本要去喝啤酒。,"迈克,汤姆和本要去喝啤酒",100.0,100.0,100.0,94.89
157,莉亚昨晚在诗歌朗诵会上遇到了一个变态。他知道莉亚会说德语，还说出来所有和她一起参加过活动的朋友。莉亚没有告诉过他这些。他之前在谷歌上搜索了莉亚。两周前莉亚喜欢的一个帖子里提到了他。,"昨天晚上,Leah读了诗,她遇到了一个自我介绍并开始和她交谈的人,他问她她去参加过一次活动,并点了所有和她一起来的朋友的名字,他把她找了出来,试图带她回家,尽管Leah告诉他他是一个变态。",46.34,23.46,29.27,71.48
158,尼基刚从萨姆家离开，她电话关机了。,尼基刚离开山姆家,60.87,38.1,43.48,77.29
159,肯恩正试图捉弄格雷格。,肯想从格雷格那里拿回他的钱,34.78,19.05,34.78,71.19
160,汤姆安全到达，但没有带行李。,汤姆在坐出租车时会给亚历山大发个信息 他安全抵达但没有行李,50.0,31.58,50.0,76.19
161,大学会给孩子们举办一个狂欢派对。,"大厅里有5个充气城堡,还有一条HUGE的充气龙。大学为儿童组织了嘉年华会。",21.74,4.55,13.04,70.88
162,伊恩在找他的绿色文件夹。索菲还没有看到，也许亚历克斯知道。,伊恩在找他的绿文件夹 他把它放在饭桌上了,44.44,37.21,44.44,72.65
163,西蒙五分钟后会和阿德里安谈一谈。,西蒙5点就自由了,17.39,9.52,17.39,62.01
164,珍要和她男朋友分手了。简从一开始就知道他们不是很般配，所以她会支持珍。,"Jen要叫她前男友搬出去,他正在免费装货,不会把欠她的钱还给她。Jen不敢要求他离开。Jane建议Jen减少损失,继续前进。",22.78,0.0,17.72,61.67
165,波比今晚不在家，但她不愿意向迪恩透露原因。她不做晚餐了，所以迪恩必须在回家的路上自己买点东西吃。,Dean回家的路上会拿些东西 珀比今晚不在家,41.94,33.33,22.58,66.94
166,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,Gab想见Kat喝一杯 Kat不想在现实生活中见他,22.64,3.92,18.87,59.65
167,阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,"Agatha正在准备她的经济学课程演讲,她利用了最近的研究。",24.14,7.14,17.24,67.58
168,梦龙乐队7月12日在abc剧院有一场音乐会。萨莉想和蒂姆一起去。她花70块钱买了票。,7月12日在ABC剧院 莎莉和蒂姆会去看《龙的幻象》,54.55,33.96,47.27,71.02
169,贝兹不在的时候，安德鲁发现她的车出了点故障，但看起来问题不大。在她21号回来之前，他也会帮忙照顾她养的植物。,"Bez的汽车的刹车油量很低。 Kate把它带到了Willig旁边的车库,很好。Bez现在在旅馆大厅里,使用“电话信用 ” 。汽车在6月才经过全面检查。地下室的工厂每周用水一次,但水量不多。",18.8,1.74,11.97,60.17
170,劳拉打算下周六去看望她父母。基思可能会为她做千层面。劳拉的妈妈给她准备了生日礼物。,劳拉忙着研究一个项目 她下周六会去看她的父母,44.07,17.54,33.9,72.16
171,佩嘉的课要上到15点。她得从17点工作到21点半左右。她会在22点回来。米利安邀请了几个人，佩嘉也在其中。她回来后会和米利安一起喝杯茶。米利安还会给她留点酒。,皮加22点回来 米里亚姆邀请了几个人过来,27.91,21.43,27.91,68.13
172,罗伯特会为汤姆的生日准备一些漂移气球。,帕姆必须去购物、做饭和打扫。她将从市中心的一家商店取气球。,22.73,4.76,22.73,64.21
173,雪莉在一个食物收容所做义工，还问别人有没有做义工。特蕾西不喜欢这样，但乔迪总会在圣诞节的时候做慈善活动。,雪莉今年在食物收容所做志愿工作 特蕾西不感兴趣 裘迪每年都做慈善工作,47.5,28.21,45.0,75.15
174,吉姆回家后会去看麦克斯的最新音乐节目。,麦克斯送吉姆最新的音乐项目 吉姆回家后会听的,76.92,48.65,41.03,81.52
175,凯恩向香农推荐30秒上火星乐队的新专辑。,Kane推荐Shannon 30秒到Mars专辑,42.86,23.08,42.86,63.63
176,安迪一小时后要去看保罗。,Andy一小时后会去拜访Paul 喝咖啡谈政治,37.04,24.0,37.04,70.49
177,卡洛琳和梅根玩猜谜游戏——他们需要猜出一句话来自哪部电影。,Caroline差点又拉上睾丸了,0.0,0.0,0.0,51.7
178,乔什应该查查罗恩的邮件。,罗恩给乔什寄了些东西,38.1,21.05,19.05,71.21
179,菲比今天不能出去，因为她把妈妈一瓶很贵的香水打翻了。妈妈很生气。现在公寓里的香水味太浓了。,Phoebe的妈妈生她的气 因为她用香水弄坏了香水,46.67,17.24,26.67,68.53
180,罗伯和夏娃将会在星期天早上见面，然后一起去商店。夏娃大约3点钟有事要做。,伊芙和罗布周日会合 夏娃下午3点左右有事要做,40.74,19.23,37.04,73.7
181,贝蒂和桑德拉分享了一张一个男人和一只猫的照片。桑德拉的前任想和她复合，她也很想他。贝蒂六点带酒过来。,贝蒂和桑德拉在谈论一个照顾动物的男人 桑德拉的前男友最近向她承认这是个错误 贝蒂6点会到桑德拉家,45.65,26.67,41.3,75.45
182,安娜喜欢一款可以虚拟试穿衣服的新app。彼得不太确定是否有必要这样做。,Anna有一个可以把衣服加到衣柜里的应用程序 Peter不明白,29.63,7.69,25.93,65.37
183,丹打了一针麻醉剂，因为伤口肿起来了。他觉得没有事，但还是受伤了。,丹注射了麻醉剂 他肿了,42.11,11.11,36.84,71.86
184,阿尔奇大约午夜从南安普敦坐公交回来。他会给犹大打电话。,Archie午夜左右会从南安普顿抵达 他乘公车去犹大,48.89,23.26,40.0,76.22
185,克洛伊周末会看比沃特推荐的正剧。,Chloe还没看系列片 她周末会看,29.63,24.0,29.63,63.79
186,劳伦想在脚踝上纹个小纹身。,Lauren想在脚踝上方纹个小纹身 Tessie认识几个人,66.67,57.14,66.67,82.41
187,楼上的厕所又堵了。温蒂和大卫请不起水管工，因为温蒂把钱花在了妹妹的生日礼物上。,温蒂认为楼上的厕所可能被堵住了 她没有冲掉卫生棉条或垫子,38.1,16.39,28.57,66.94
188,凯伦想知道罗文他们国家的交通规则是不是靠左行驶。罗文说是。她觉得自己不能开车去那里。,在罗文的国家里有左手交通。,35.29,12.24,23.53,65.84
189,汤姆想去《鲁滨逊漂流记》里的岛。,"汤姆想去鲁滨逊克鲁索的岛 乔纳森,奥斯卡和杰特认为这太疯狂了",43.9,35.9,43.9,72.15
190,泰特斯同意帮埃米莉做语言练习。埃米莉给泰特斯发了一张做好的练习题照片，但是他读起来有点困难。,Titus会帮助Emely完成一项任务,7.41,0.0,7.41,55.54
191,马尔科会看奥尔多花了2周时间写出来的12页文章。,"阿尔多给马可寄了他的文章,马可现在会打印出来读",45.45,14.29,27.27,68.49
192,哈里斯的朋友青木住在密歇根州，昨天去世了。哈里斯有几个月没见她了。,Harris的朋友Aoki昨天去世了 Harris住在密歇根 几个月没见Aoki了,71.7,54.9,52.83,76.81
193,汉娜的新年计划是：健身、自己做饭、开始约会。布鲁克林什么都没做。过去她也做过新年计划，但从来没有实施过。,"Hannah和Brooklyn决定了新年,Hannah每天都会减肥锻炼,学会烹饪和做饭准备,并找到未来丈夫。",17.95,5.26,12.82,63.83
194,特雷弗让阿比盖尔怀孕了。他们在没有做避孕措施的情况下发生了性关系，阿比盖尔的父亲是一位牧师，他狠狠踢了特雷弗的屁股。特雷弗进了阿比盖尔的房间。,"特雷弗和阿比盖尔的父亲发生性关系,他是一个教堂牧师。他计划最后一刻退出,但她父亲闯进来,给他屁股踢屁股。他想让特雷弗代替他支付子女抚养费。",44.96,26.77,37.21,75.85
195,杰西卡发了很多她实际上并不关心的话题的帖子。茱莉亚则是以一种更真诚的方式发帖。但希拉里觉得她做得太极端了，缺少现实生活。,朱莉娅和盖尔对社交媒体上瘾 Gail喜欢监视人,5.33,0.0,2.67,57.4
196,米兰达昨天打电话给汤姆，很甜蜜地和他讲话。安妮很生她的气，因为她正在和汤姆约会。,米兰达昨天打电话给汤姆 安妮和汤姆在约会,69.09,52.83,65.45,79.72
197,芭芭拉和伊娃在艾拉提供的网站上描述了她们的饮食要求。,Ella想知道他们是否要来 以及他们是否对餐饮公司有饮食要求,19.61,12.24,19.61,61.62
198,萨拉星期四到纽约。乔舒亚期待收到一份礼物。,莎拉将在本周四到达纽约 约书亚将等待她的礼物,45.0,15.79,45.0,73.21
199,艾莉森拿到奖学金了。,艾莉森拿到奖学金了,100.0,100.0,100.0,96.36
200,山姆要到5点才能完成工作。他会在上午9点左右过来。明早他会去见阿布德莱拉。,萨姆晚上五点才上班 他今晚不会带他过来 他9点左右早上会带他来,47.62,16.39,34.92,73.73
201,贝蒂和菲尔六点半约好在电影院看一部恐怖片。之后他们将在菲尔家吃晚餐。,贝蒂和菲尔下午6: 30去电影院看一部惊艳片 他们之后会在家吃晚饭,65.57,44.07,59.02,84.62
202,罗伯特的新电话号码是304开头的。罗伯特丢了工作，正在找新工作。泽格提出把罗伯特的简历交给一个联络人。,罗伯特在裁员时正在寻找一份新工作 塞尔吉会把他的简历寄给他,41.1,19.72,38.36,74.13
203,莉莉和托马斯度过了一个美好的夜晚。托马斯是罗马尼亚人，来自一个非常富有的家庭。,Lily和Thomas共度了一个美妙的夜晚 她来自一个非常富足的家庭 在LSE学习,58.46,41.27,58.46,75.98
204,山姆想买一件定制的衣服，给妻子一个惊喜。衣服要黑色的、优雅的。店里的员工给他发了一些图片，供他参考。山姆确定了他喜欢的衣服特征。他的产品编号是89898998，他会在公司网站上下单。,Sam正在寻找妻子的黑裙子作为惊喜礼物。 Sarah 时装根据客户要求按顺序做衣服。 Sam将在网站上订购服装。,23.93,8.7,18.8,67.28
205,卡姆登最近没有使用社交媒体。他只发消息，他想要麦金利的照片。,"卡姆登很久没见到麦克金利了,因为他离开社交媒体。卡姆登利用脸书上的聊天与好朋友保持联络。麦克肯利主要利用脸书与人保持联络。",35.71,14.63,23.81,71.57
206,下班后，迈克打算去健身房，然后回家。他邀请杰森带些食物过来。他们可以在ps4上玩2。,麦克去健身房 然后回家 杰森会过来和他玩命运2号,55.17,32.14,55.17,72.92
207,琳达找到了一份新工作，要搬到俄亥俄州去住6个月。她弟弟会住在她现在的公寓里。黛西会来琳达家见她，帮她收拾行李，因为琳达太忙了出不了门。,琳达要搬到俄亥俄州6个月 Daisy会帮她收拾行李,46.91,35.44,46.91,76.14
208,海登必须在一个月内完成她的论文。她想知道什么样的学位课程对她最有利。她对非洲研究很感兴趣。海登声称她可以成为一名空姐，因为她会游泳，还会说外语。,"海登有一个月的时间来写她的论文,然后她需要决定她应该选择哪些研究。她对非洲的研究感兴趣,但她不确定以后她能赚大钱。她正在考虑做空姐,但她不想每次都冒险。",42.65,19.4,36.76,75.97
209,艾伦找到了肉桂味威士忌，并把照片发给了罗伯特。,艾伦找到了一种没有糖、没有品味和更多肉桂调味的产品。肉桂和威士忌味道很好。罗布想要回老樱桃味。,37.5,22.58,37.5,71.44
210,亚兹和玛丽今晚6点左右见面，一起去减肥俱乐部。他们估计吃得太多会被骂。,亚兹和玛丽今晚要去苗条俱乐部 他们下午6点会和他们的老厨师老师见面,56.25,38.71,43.75,75.46
211,艾莉的班级在二楼342教室。,"Aaliyah和Camille在二楼342号上课,Camille生病了",32.0,26.09,32.0,66.16
212,内森和亚伦正在讨论内森发来的视频。,丹给内森发了一段 猫有灵性的时刻的视频,35.29,25.0,35.29,69.42
213,威廉得5分钟后才回来，因为要他排了20分钟的队。,威廉已经排了20分钟的队 他5分钟后回来,82.05,59.46,46.15,81.2
214,杰克预定了三张明天晚上七点的票。他能享受七折优惠。,Jake为明天下午七点预留了三张票 他有30%的折扣,55.81,24.39,32.56,77.11
215,弗雷迪、凯利、吉姆、格雷格、鲍勃、迈克、玛丽、艾伦和南希正在netflix上观看不同的节目。,"弗雷迪,凯利,鲍勃,迈克,玛丽,艾伦和格雷格 正在讨论他们在Netflix上看到什么。",70.97,56.67,61.29,83.74
216,索尼娅一个月后要去圣塞巴斯蒂安。托尼很喜欢那里的airbnb公寓。索尼娅不太相信这些，但她会告诉托尼的。,"托尼和他的朋友去年去了圣塞巴斯蒂安,他们住在Claya de la Concha旁边的一家空房里。房东夫人人很好,为他们做了玉米饼。索尼娅和她的朋友计划在一个多月内到那里去。",37.84,18.35,25.23,71.15
217,马利克和萨曼塔想减肥。他们会努力节食、保持生酮饮食或原始人饮食法，还会一起跑步。,马利克和萨曼莎要一起吃Keto的饮食,39.22,28.57,31.37,70.22
218,德里克今天做成了几笔交易。但是菲尔没能做到。,Derek和Phil忙了一天 Derek结了一些交易 但他压力很大,25.0,10.53,25.0,63.48
219,大家正在把蒂莫西·柴勒梅德p进艺术品里。多米尼克和诺娃一致认为他看起来像19世纪的人。,人们正在把蒂莫特·查拉梅特 拍成艺术品,35.71,22.22,32.14,74.67
220,彼得最近一直在他们办公室附近的健身房锻炼以改善健康状况。为了更健康，丽莎正在考虑锻炼和更加合理饮食。,"彼得最近忙于工作,他一直在努力改善健康。他办公室附近有健身馆的健身员。他经常在跑步机上做体重和跑步。丽莎也需要吃得更好才能保持体型。",48.15,28.3,35.19,77.73
221,茱莉亚打碎了汤姆的杯子，这让汤姆很伤心，所以她要给他买个新的。,Julia打破了Tom的杯子 她会给他买新杯子,45.45,19.05,45.45,69.84
222,曲棍球运动员的css测试今天开始下午5点开始，将持续3小时。汉克会带他儿子和唐的儿子来。唐很高兴。,Don和Rodney的孩子都10岁了 测试时间应该是下午5点到8点,29.85,12.31,20.9,63.34
223,杰西卡在市中心的二手商店买了一张桌子、六把椅子、一个花瓶和一堆衣服。这些一共花了70欧元。,杰西卡去了市中心的第二手店 买了一张桌子 六把椅子 花瓶 一堆衣服 一件黑裙子 价值70欧元,78.48,57.14,75.95,83.42
224,阿比盖尔和达米安周日要去教堂。达米安必须穿西装打领带。,阿比盖尔和达米安星期天要去教堂 阿比盖尔提醒达米安穿上外套和领带,64.29,48.15,64.29,83.99
225,卢西恩不在家。德西蕾希望卢西恩把她的意大利面放在微波炉里。,路西安刚刚收到戴思芮的留言 他还没做饭呢,8.7,0.0,8.7,60.35
226,道格有一双很酷的鞋子。,道格·哲尼喜欢他的鞋,42.11,23.53,42.11,70.25
227,苔莎不喜欢克洛伊给她男朋友吉姆·安德鲁斯发短信。但是吉姆是克洛伊的同事，所以克洛伊需要和他沟通。,Tessa希望Chloe不要发短信给男朋友Jim Andrews,30.51,14.04,16.95,62.18
228,艾米丽、凯特和玛塔今天要去中央车站的x酒吧喝一杯。,艾米莉 凯特和玛尔塔 5点30分在中央车站 酒吧X酒吧碰头,58.33,39.13,58.33,78.88
229,简、安妮和埃拉去过拉佩尔。简之前吃了芝士蛋糕后过敏了。现在他们要离开急诊室了。,Jane对花生过敏 她和Ella去了La Perle,20.83,4.35,12.5,63.38
230,莱利会请蒂凡尼吃汉堡。,雷利回家的路上会给蒂芬妮买个汉堡,38.46,8.33,38.46,77.96
231,阿丽亚娜会去市中心购物，但是阿维亚娜不能去。,阿丽亚娜要去市中心购物 阿维亚娜希望她能和她一起去,72.73,52.38,72.73,81.64
232,康纳在value village买到了自己的万圣节服装，简打算在那里买她和她姐姐的服装。,简和她妹妹去价值村买万圣节服装,39.13,22.73,26.09,75.01
233,今天玛丽没有去上学，她就待在家里。,玛丽今天留在家里,60.87,38.1,43.48,77.74
234,埃琳娜穿着红色的夹克，杰弗里没看到她，也没看到汤姆。,Tom和Jeffrey离Elena只有几米远,0.0,0.0,0.0,51.09
235,索菲亚向梅森道歉。并按梅森的要求给他发了一张亲吻照。,"索菲亚向梅森道歉,因为他给他送了亲吻照片 她不想让他看到她,当她看起来不错。",48.28,35.71,48.28,76.97
236,斯特芬昨天扭伤了脚踝，所以需要搭便车去无边泳池。艾琳的车可能上不了山，所以他们得停在山脚下，然后爬上去。巴德先生应该能爬上山，因为他的车是四轮驱动的。,"斯泰芬昨天扭了个皮囊,他把车停在底部 爬到无限游泳池去,艾琳载他一程,丹认为巴德先生能行",44.44,16.98,33.33,71.75
237,杰克、弗洛伦斯、玛格和其他人将去斯威士兰进行一次研究之旅。这个国家的名字去年改了，现在叫斯瓦蒂尼。,"Jake, Florence, Margot和Mike要去Eswatini做个研究旅行",24.14,3.57,17.24,57.87
238,克莉丝汀病了，明天不来上学了。安妮会把西拉夫的香囊放在邮箱里。克莉丝汀不想把病传染给她。,安妮稍后会把Theraflu沙刀 扔到Christine的信箱里,25.0,11.11,25.0,69.85
239,吉尔给莎拉打了电话，她还给她发了一些旧照片。,Jill打电话给Sarah 给她发了Bob的照片 Bob很生气,52.63,27.78,47.37,70.9
240,彼得6号开始他的新工作。他想要一个不收费的临时保姆。艾姬会给他安排的。,Peter在6号开始新工作 Aggie会找个保姆,46.81,26.67,42.55,71.14
241,艾米在找玛丽安。,"Maryam可能和他父亲去了别的地方 艾美查了他的号码,去了她家",6.25,0.0,6.25,59.36
242,乔治、罗伯特和保罗打算星期五7点打篮球。,"George,Robert和Yousuf将在周五下午7点打篮球。 Paul半小时后会加入他们的行列。",30.43,18.18,30.43,68.47
243,罗里想让米奇带比尔和萨米他们凑钱买汽油。米奇29号周日离开，周一上午9点前到。比尔周日上午10点左右到，乔安娜会来接他。米奇之后会去见比尔。,米奇周日29号开车去克罗地亚 他周一早上10点左右会接比尔和萨米,52.75,24.72,35.16,74.3
244,琼斯和安吉丽娜下午会在城里见面。,琼斯和安吉丽娜今天晚些时候 会在城里的下午碰头,70.27,57.14,59.46,84.59
245,德里克和阿丽莎取笑弗格森的国歌表演。,Derek不喜欢Fergie的国歌 但觉得她做得很好,18.18,12.9,18.18,58.16
246,帕姆没有给劳伦安排轮岗，但经理明天可能会给劳伦安排更多值班。帕姆和劳伦明天会见面讨论劳伦假期的事。,明天需要Pam Lauren 经理可以再做一些轮班 劳伦假期愉快,32.35,15.15,23.53,66.37
247,杰米从来没有遇到过鬼，但哈丽埃特和她的朋友在高中遇到过一次。但他们没有看到鬼，她只是被一只猫的叫声吓到了。,哈丽特高中时曾去猎鬼 她没有找到鬼,33.85,15.87,27.69,68.72
248,杰克需要凯文的帮助，因为他的应用程序不能运行了。,杰克不能让申请程序运行 Kev会帮他的,57.89,27.78,31.58,69.91
249,丹想向安吉拉道歉，他们稍后会在学校见面。,丹和安吉拉待会在学校见面,66.67,50.0,66.67,77.21
250,沙尔多纳通过手机发送了婚礼邀请，因为她没有时间亲自去送邀请函。,Shaldona要结婚了 她通过送信人寄了Piper的婚礼邀请函,40.82,21.28,36.73,66.97
251,葆拉和拉尔夫将在一小时后会见新人。,宝拉和拉尔夫一小时后会和新人见面,81.25,60.0,75.0,86.54
252,阿尼亚、卡西亚、祖兹亚和简明天想去教堂。阿尼亚和祖兹亚觉得带一个男孩去教堂不合适。,"安娜,卡西亚,扬和祖西亚 明天要去教堂 赞美波兰女王玛丽",36.07,20.34,32.79,70.41
253,哈利在外面等着。电影已经开始了，但艾玛还要5分钟才到，这让哈利很生气。,"Harry在外面等Emma 电影已经开始了,Ema2分钟后就到",54.9,40.82,54.9,73.46
254,在协议中，它既不是海也不是湖，它具有特殊的法律地位。他们也会把海底完全瓜分掉。它的资源丰富，主要是天然气和石油。,杰夫 弗拉基米尔 唐纳德和塔尼娅正在讨论里海协定,11.11,0.0,5.56,52.87
255,乔的工作让他精疲力尽。蒂姆的朋友特里辞职了，因为他实在太累了。,乔的工作让他累死了 Tim的朋友Terry因此辞职了,63.83,40.0,51.06,75.24
256,纳塔利正在确认摄政街的新俱乐部是否值得一去。丹妮丝觉得俱乐部很棒，朱迪的朋友也推荐这个地方，所以朱迪这个周末要去那里。纳塔利将在星期六与朱迪、米兰达和海伦一起去。,朱迪周末要和米兰达和海伦去摄政街的新俱乐部,41.67,31.91,25.0,74.05
257,杰米、马里奥、吉米和亚历克斯的老师要求把他们班级分成两组，每组做一个报告。老师通过电子邮件将报告主题发给他们。杰米、马里奥、吉米和亚历克斯考虑按性别划分小组。,"Jamie, Marlo, Jimmy and Alex 将分成三组进行三场演讲。他们将分成两组,每组3-4人。",22.22,12.37,16.16,65.02
258,约翰在公园里，他正要离开。,诺拉刚刚和约翰的数学老师通了电话 约翰在公园里 特丽莎在等他,35.9,27.03,35.9,69.63
259,今天书店外有一群人。据说是写吸血鬼故事的科尔·格兰特正在书店签售。,今天书店外面有一大群人 一位新作家丹特·凯尔正在签署他的书,56.14,25.45,45.61,73.41
260,黛比无法决定是买红裙子还是买绿裙子。在凯莉和丹尼丝的建议下，她买了绿色的。凯莉正在考虑给自己买那件红色的。,黛比不知道要买哪件衣服 凯莉打算自己买红色的,34.29,20.59,31.43,74.83
261,爱米利娅还在生气。,艾蜜莉亚仍然很生气,23.53,13.33,23.53,80.44
262,汤姆会帮米娅买机票，因为她没有信用卡，也不想用彼得的信用卡。汤姆需要航班、公司和你的个人资料。,米娅现在没有信用卡 汤姆会借她买机票,47.46,35.09,30.51,74.33
263,休牙痛，要去看牙医。安迪和韦德推荐他去prodent。休今天会给prodent打电话。,"Hugh有牙痛,急需牙医 Andy推荐Smith医生在中心的ProDent",30.43,13.64,30.43,62.87
264,圣诞节前，艾拉的妈妈买彩票中了十万，艾拉和诺亚都很兴奋。,艾拉的妈妈在彩票中赢了十万,57.89,44.44,57.89,78.66
265,环城公路上发生了一起车祸，但无人死亡。,"圆环路发生了车祸,没有人死亡",66.67,35.71,66.67,84.55
266,罗伯和鲍勃正在看比赛。鲍勃周末要跑一些腿。吉姆的生日是下星期三。他可能在这个周末组织一次聚会。鲍勃周末会见到罗伯。,"鲍勃和罗布正在看球赛。鲍勃准备去跑点小差事,做点吃的,周末出去喝几杯啤酒。吉姆的生日是下周三。吉姆可能会在某个酒吧和几个朋友见面。鲍勃会告诉吉姆,如果他想来的话。",51.2,22.76,40.0,79.0
267,朱莉和黛布拉正在讨论活动，大概会有20左右的人参加，大部分是村里40岁以上的女性。,黛布拉和朱莉周末会见面 村里有20个女孩,44.44,19.23,25.93,69.66
268,迈克骑着摩托车遭遇了车祸，他的腿摔断了。,迈克的摩托车出了车祸 摔断了腿,81.25,46.67,68.75,83.67
269,大卫在照顾伊森的妹妹，伊森很感激，但是大卫不会再这样做了。,"David去伊森家照看他妹妹,他不得不经历很多事情,他姐姐很淘气,大卫开通了电话。",33.9,10.53,27.12,68.94
270,康拉德忘了带钥匙，所以回不了家。瑞贝卡和蒂芙妮回来得晚，他得在咖啡厅等。,Conrad忘了他的钥匙 Tiffany1011会回家 Rebecca会晚点回来的 Conrad会在咖啡店等,48.28,17.86,41.38,70.14
271,克拉拉和罗恩想知道昨晚卡西亚家的奇怪气味是什么。,昨晚卡西亚家有股怪味,48.48,32.26,48.48,73.37
272,霍莉不太舒服，所以她今晚不去杰克家了。,霍莉今晚不会来Jake的派对 因为她得了流感,40.0,18.18,34.29,68.38
273,卢德米拉小时候最喜欢的恐龙是三角龙。,路德米拉最喜爱的恐龙 成长于一个三角龙。,62.86,42.42,62.86,84.32
274,乔什、肖恩和洛根今晚要去酒吧泡妞。洛根不想让肖恩发表不当言论，把女孩们都吓跑。,Josh和Sean今晚要去酒吧 罗根想见见几个女孩,41.51,23.53,41.51,65.79
275,有人把手机落在利亚姆家了，但不是印第安纳。,印地安那人把手机忘在利亚姆家了,70.59,50.0,58.82,80.48
276,在玛丽亚和妮可的建议下，克莱尔正在订购她的婚纱。,克莱尔想为婚礼订件礼服,30.3,12.9,24.24,70.36
277,维克多接管了克里斯的公司，这家公司负债累累。他卖了办公室，做了一些调整，但克里斯仍然作为主管在这里工作。大卫的生意进展得很慢，但他预计年底会好转。,"Victor接管了Chris的公司,他把办公室卖了,并把他们安置在他的办公室里。Chris仍然在做董事。David的生意很慢,但他期望到年底会好起来。",49.15,27.59,45.76,75.97
278,帕特丽夏向艾尔和弗洛伦斯推荐了一个公平贸易品牌。,Patricia把她一直在谈论的公平贸易品牌 送去Elle,34.15,25.64,34.15,65.49
279,伊森昨晚没来参加聚会，因为他在洛杉矶。艾比盖尔不知道这件事。伊森几天后回来，他会联系艾比盖尔。,伊森昨晚没参加 因为他在洛杉矶 他三两天后就会回来,61.54,41.27,55.38,78.04
280,斯坦今天在帕特和吉尔的店里见到了他的梦中情人。之后他会告诉戴夫他的约会进展如何。,她回复了Stan的留言 他要带她去Pat&Gill家,11.11,0.0,11.11,57.13
281,米罗和他的父母说阿尔巴尼亚语。他的家人在20世纪90年代非法出境离开了阿尔巴尼亚。,Miro告诉她他父亲在1990年代初期从阿尔巴尼亚来到美国的故事。,34.92,16.39,31.75,72.46
282,朱莉刚刚看了一部日本恐怖片。她一个人在家，感觉很害怕。葆拉和罗斯要去她家过夜。他们一边喝着可可一边看《当哈利遇到莎莉》。罗斯会带饼干来。,"Julie刚看了日本恐怖电影,她很害怕 Paula会到Julie家喝可可,看《Harry认识Sally》",41.38,18.82,36.78,71.76
283,露西很恐慌，因为现在她女儿都15岁了，她还不确定自己是否做好了当妈妈的准备。,露西的小女孩15岁 她好像昨天才5岁,32.0,8.33,28.0,62.17
284,丹、蒂姆、克里斯和马丁8点碰面。丹和马丁这次会放松一下。汤姆来不了，因为他岳父岳母家有个聚会。,"丹,蒂姆,克里斯和马丁周六八点要出去 汤姆不能加入他们,因为他在公婆的派对上",42.67,30.14,42.67,75.32
285,凯西买了新指甲油，自己做了指甲。她花了近4个小时，所以她不会帮朋友做指甲，因为耗时太长了。,凯西自己做了指甲 她换了一个新的指甲油,51.72,32.14,44.83,73.38
286,沙罗尔忘了做社会学作业。她需要研究女权主义法案，明天就要交了。凯特已经完成了，她催促沙罗尔快点做。,沙洛忘了明天的社会学任务 凯特提醒沙洛,35.48,16.67,29.03,72.14
