,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw,bs_f1_rescaled
195,Jessica posts a lot regarding subjects she does nothing about in reality. Julia posts in a more genuine way. But Hillary thinks she does it to death and lacks real life.,Julia and Gail are addicted to social media. Gail likes to spy on people.,13.33,0.0,8.89,86.76,21.58
196,Miranda called Tom yesterday and spoke to him in a sweet way. Anne is angry with her because Anne is dating Tom.,Miranda called Tom yesterday. Anne and Tom are dating.,51.61,20.69,38.71,93.2,59.69
197,Barbara and Eva described their dietary requirements in the website given by Ella.,Ella wants to know if they're coming and if they have any dietary requirements for the catering company.,31.25,6.67,25.0,87.86,28.08
198,Sarah will arrive to New York on Thursday. Joshua expects to get a gift.,Sarah will reach New York this coming Thursday. Joshua will be waiting for her gift.,48.28,22.22,48.28,94.68,68.5
199,Allison has got a scholarship.,Allison got a scholarship.,88.89,57.14,88.89,97.68,86.27
200,Sam won't finish work till 5. Sam is bringing him over about 9 am. Sam will see Abdellilah in the morning. ,Sam is at work until 5 pm. He is not bringing him over tonight. He will bring him in the morning around 9.,53.33,23.26,48.89,92.2,53.8
201,Betty and Phil are meeting at 6.30 to watch a thriller at the movies. They will have dinner at Phil's afterwards.,Betty and Phil are going to see a thriller at the cinema at 6:30 pm. They will have dinner at home afterwards.,78.26,54.55,65.22,96.17,77.33
202,Robert has a new phone number starting with 304. Robert has lost his job and is looking for a new one. Serge offers to pass on Roberts CV to a contact. ,Robert is looking for a new job as he was laid off. Serge will send him his CV to a Belgian guy who is thinking of opening a new factory here.,45.16,23.33,32.26,90.33,42.73
203,Lily spent an amazing night with Thomas. Thomas is Romanian and comes from a very rich family.,"Lily spent an amazing night with Thomas, who is from an extremely rich family and studies at LSE.",68.57,42.42,62.86,95.6,73.91
204,Sam wants to buy a custom dress as a surprise for his wife. It should be black and elegant. The store employee sent him some pictures for reference. Sam decided on the features he likes. His product number is 898998 and he will place the order on the company's website.,Sam is looking for a black dress for his wife as a surprise gift. Sarah fashion makes dresses on order as per customer requirements. Sam will order the dress on the website.,48.19,12.35,28.92,90.44,43.34
205,Kamden hasn't used social media recently. He uses messenger only and wants to get Mckinley's photographs.,Kamden hasn't seen Mckinley in a while because he's been off social media. Kamden uses chat on Facebook to keep up with good friends. Mckenley uses Facebook mostly to keep in touch with people.,37.04,11.54,25.93,90.7,44.88
206,"After work, Mike is going to go to the gym and then home. He invites Jason to bring some food and come over. They can play 2 on ps4.",Mike is going to the gym and then home. Jason will come over and play Destiny 2 with him.,61.22,38.3,57.14,93.4,60.88
207,Linda got a new job and is moving to Ohio for 6 months. Her brother will stay at her current apartment. Daisy will come by Linda's place to meet her and help her pack as she is too busy to go out.,Linda is moving to Ohio for 6 months. Daisy will help her pack.,46.43,33.33,46.43,92.94,58.18
208,Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.,"Hayden has 1 month to write her thesis and then she needs to decide what studies she should choose. She's interested in African studies but she's not sure she can make big money later on. She was thinking about working as a flight attendant, but she doesn't want to risk every time.",45.36,23.16,35.05,90.57,44.15
209,Alan has found some cinnamon whiskey and sends Robert photos of it. ,"Alan has found a product that has no sugar, no taste, and additional cinnamon flavoring. The cinnamon goes well with the whiskey. Rob would like the old cherry flavor back.",28.57,10.0,23.81,88.18,29.99
210,Yaz and Mary are meeting tonight around 6 and going for the slimming club together. They expect to be scolded for eating too much. ,Yaz and Mary are going to slimming club tonight. They will meet at 6 pm with their old cookery teacher.,50.0,19.05,36.36,92.38,54.85
211,Ellie's class is in 342 on the second floor.,Aaliyah and Camille are having classes at 342 on the second floor. Camille is sick.,48.0,34.78,40.0,91.82,51.54
212,Nathan and Aaron are discussing a video which Nathan sent. ,Dan sent Nathan a video of a cat having a spiritual moment.,36.36,10.0,27.27,90.29,42.46
213,William is coming back in 5 minutes as he had to queue for 20 minutes.,William has been in line for 20 minutes. He will be back in 5 minutes.,60.0,35.71,33.33,94.13,65.2
214,Jake reserved 3 tickets for tomorrow 7 pm. He got 30% discount.,Jake has reserved 3 tickets for 7 pm tomorrow. He got a 30% discount on them.,85.71,46.15,78.57,97.17,83.25
215,"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.","Freddie, Kelly, Bob, Mike, Mary, Alan and Greg are discussing what they are watching on Netflix.",75.0,46.67,68.75,96.31,78.16
216,Sonia is going to San Sebastian in a month. Toni enjoyed her the airbnb place there. Sonia isn't convinced about it and will let Toni know.,Toni and his friends went to San Sebastian last year. They stayed in an airbnb place next to the Playa de la Concha. The landlady was nice and made a tortilla for them. Sonia and her friends are planning to go there in a month or so.,37.84,13.89,21.62,88.97,34.62
217,"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",Malik and Samantha are going to try the keto diet together.,42.42,6.45,36.36,91.88,51.87
218,Derek closed some deals today. Phil didn't manage to do it.,Derek and Phil had a busy day. Derek closed some deals but he had a lot of stress. Phil couldn't close any deal.,33.33,17.65,33.33,92.81,57.39
219,People are photoshopping Timothée Chalamet into artworks. Dominic and Nova agree that he looks like a 19th century man.,People are photoshopping Timothée Chalamet into artworks.,51.85,48.0,51.85,95.54,73.59
220,Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,Peter has been busy with work lately. He has been working out to improve his health. He holds a gym membership with the gym near his office. He does weights and runs on the treadmill regularly. Lisa also needs to eat better to keep in shape.,49.32,28.17,32.88,93.64,62.32
221,"Julia broke Tom's cup, which made him sad. She will buy him a new one.",Julia broke Tom's cup. She will buy him a new one.,85.71,76.92,85.71,97.66,86.16
222,"The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad.",The CSS tests are today. Don and Rodney's kids are 10 years old. The tests are supposed to last from 5-8 pm. Don will bring Oscar and Roger. Hank will take his kid.,57.58,15.62,36.36,91.55,49.91
223,"Jessica bought a table, six chairs, a vase and a pile of clothes and the second hand shop downtown. She paid 70 euros for everything. ","Jessica went to the second hand shop downtown and bought a table, six chairs, a vase, a pile of clothes and a black dress for 70 euros.",84.62,64.0,57.69,95.23,71.75
224,Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,Abigail and Damien are going to church on Sunday. Abigail reminds Damien to put on a coat and tie.,91.89,80.0,91.89,97.52,85.32
225,Lucian is not at home. Desiree wants Lucian to keep her pasta in the microwave.,Lucian has just got Desiree's message. He hasn't cooked anything yet.,14.29,0.0,14.29,90.01,40.83
226,Doug has a cool pair of shoes.,Doug loves Jeni's shoes.,33.33,0.0,33.33,93.29,60.25
227,"Tessa doesn't like Chloe texting her boyfriend, Jim Andrews. Jim is Chloe's co-worker so Chloe needs to communicate with him.",Tessa wants Chloe to stop texting her boyfriend Jim Andrews.,48.48,25.81,42.42,93.76,63.01
228,"Emily, Kate and Marta are going to the Pub X at the central station today for a drink.","Emily, Kate and Marta will meet for a drink in Pub X at the central station at 5.30.",70.27,57.14,54.05,95.58,73.79
229,"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER. ",Jane is allergic to peanuts. She went to La Perle with Ella. They ordered a cheesecake and she started swelling after the first bite.,38.3,13.33,25.53,91.93,52.18
230,Railey will buy Tiffany a burger.,Railey will buy a burger for Tiffany on her way home.,70.59,40.0,58.82,94.76,68.97
231,Ariana will do shopping in Midtown. Aviana can't join her.,Ariana is going shopping in Midtown. Aviana wishes she could go with her.,50.0,27.27,50.0,95.6,73.9
232,Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,Jane is going to Value Village with her sister to buy Halloween costumes. Connor got his today.,55.56,17.65,22.22,91.81,51.45
233,"Today Mary didn't go to school, she stayed at home.",Mary stayed at home today.,62.5,28.57,50.0,93.0,58.54
234,Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,Tom and Jeffrey are few meters from Elena.,36.36,10.0,18.18,89.06,35.15
235,Sophia apologizes to Mason. She sends him a kiss photo on his request.,Sophia apologizes to Mason for sending him a kiss photo. She doesn't want him to see her when she looks good.,51.43,36.36,45.71,93.61,62.12
236,"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",Steffen twisted his ancle yesterday. He will park at the bottom and hike up to the infinity pool. Irene will give him a lift. Dan thinks Mr.Budd could make it.,53.66,37.5,36.59,92.29,54.32
237,"Jake, Florence, Margot and others are going on a research trip to Swazi. The name of the country was changed last year and it's now Eswatini.","Jake, Florence, Margot and Mike are going on a research trip to Eswatini.",60.0,47.37,60.0,93.72,62.8
238,Christine is sick and won't come to school tomorrow. Annie will leave Theraflu sachets in a mailbox. Christine doesn't want to get her sick.,Christine has the flu. Annie will drop Theraflu sachets through Christine's letterbox later on.,29.27,10.26,29.27,91.79,51.36
239,Jill called Sarah. She also sent her some old pictures. ,Jill called Sarah and sent her Bob's pictures. Bob is angry at her.,50.0,27.27,50.0,93.52,61.6
240,Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter. ,Peter starts the new job on the 6th. Aggie will get a babysitter then.,68.57,48.48,68.57,95.1,70.96
241,Aimee is looking for Maryam.,Maryam might have gone somewhere with his father. Aimee tried his number and went to her home.,18.18,0.0,9.09,90.07,41.15
242,"George, Robert and Paul are going to play basketball on Friday at 7. Yousuf will be late.","George, Robert and Yousuf are going to play basketball on Friday at 7 p.m. Paul will join them half an hour later.",75.0,52.63,65.0,95.0,70.37
243,"Rory wants Mitch to take Bill and Sammy and they'll chip in for gas. Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday. Bill will arrive around 10 am Sunday and Joanna will be picking him. Mitch will meet Bill after.","Mitch will drive to Croatia on Sunday, the 29th. He will pick up Bill and Sammy around 10 am on Monday. Rory will chip in for gas.",57.14,34.67,28.57,92.11,53.25
244,Jones and Angelina will meet in town in the afternoon.,Jones and Angelina will meet today later in the afternoon in town.,90.91,70.0,72.73,97.52,85.31
245,Derek and Alyssa make fun of Fergie's performance of the national anthem.,Derek doesn't like Fergie's national anthem but thinks she does a great job.,35.71,15.38,35.71,92.13,53.39
246,"Pam doesn't have rota for Lauren, but Manager may give Lauren more tomorrow. Pam and Lauren will meet tomorrow and discuss Lauren's holiday. ",Pam needs Lauren for tomorrow. The Manager may do some more rota then. Lauren had a good holiday.,46.51,4.88,32.56,91.13,47.43
247,Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,Harriette went ghost hunting once when she was in high school. She didn't find any ghosts.,40.82,17.02,32.65,92.77,57.15
248,Jack needs Kev's help as he cannot get the application running. ,Jack can't get the application running. Kev will help him.,60.87,28.57,43.48,95.2,71.58
249,Dan wants to apologize to Angela. They will meet at school later.,Dan and Angela will meet at school later.,70.0,44.44,70.0,96.04,76.51
250,"Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.",Shaldona is getting married. She sent Piper her wedding invitation through Messenger.,27.59,7.41,20.69,90.64,44.56
251,Paula and Ralph will meet the new person in an hour. ,Paula and Ralph will meet with the new person in an hour.,95.65,85.71,95.65,98.81,92.94
252,"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.","Ania, Kasia, Jan and Zuzia are going to the church tomorrow to praise Mary the Queen of Poland.",47.83,22.73,39.13,93.19,59.64
253,"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",Harry is waiting for Emma outside. The movie has already started. Ema will be there in 2 minutes.,50.0,29.41,50.0,91.9,52.0
254,"In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.","Jeff, Vladimir, Donald and Tanya are discussing the Caspian Sea agreement.",15.69,0.0,7.84,85.14,11.96
255,Joe's job is wearing him up. Tim's friend Terry quit his job because he was burned out.,Joe's job is wearing him out. Tim's friend Terry quit because of it.,76.47,56.25,70.59,96.52,79.37
256,"Natalie is checking if it's worth going to the new club at Regents Street. Denise thinks the club is great. Judy's friends also recommend the place, so Judy is going there this weekend. Natalie will go to the club with Judy, Miranda and Helen on Saturday.",Judy is going to the new club at Regents Street this weekend with Miranda and Helen. Natalie wants to go too.,55.07,35.82,43.48,93.02,58.64
257,"Jamie, Marlo, Jimmy and Alex's teacher requires their class to divide into 2 groups, each making a presentation. The teacher sent them the presentation subjects via e-mail. Jamie, Marlo, Jimmy and Alex consider dividing the class into groups by gender. ","Jamie, Marlo, Jimmy and Alex are going to make 3 presentations in groups. They will divide them into two groups of 3-4 people per team.",32.35,12.12,29.41,90.02,40.89
258,John is in the park. He is leaving now.,Nora has just talked on the phone to John's math teacher. John is in the park. Theresa is waiting for him.,38.71,27.59,38.71,90.54,43.95
259,"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.","There was a huge crowd outside the book shop today. A new writer, Dante Kyle, was signing copies of his books. Louis doesn't like Dante Kyle.",44.9,21.28,44.9,92.68,56.64
260,Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,Debbie doesn't know which dress to buy. Kelly is considering buying the red one for herself.,50.98,32.65,50.98,93.73,62.83
261,Emilia is still angry.,Emilia is still angry.,100.0,100.0,100.0,100.0,100.0
262,"Tom will help Mia buy a flight ticket as she doesn't have a credit card and doesn’t want to use Peter's now. Tom needs the flight, company and your personal data.",Mia doesn't have a credit card at the moment. Tom will lend her his to buy a flight ticket.,55.56,34.62,33.33,91.72,50.97
263,Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,Hugh has a toothache and needs a dentist urgently. Andy recommends Dr Smith at ProDent in the centre. Wade needs to go for a checkup too. Hugh will call them tomorrow.,61.82,37.74,47.27,93.64,62.3
264,"Before Christmas, Ella's mom won a hundred thousand in a lottery. Both Ella and Noah are excited.",Ella's mom won a hundred thou in the lottery.,57.14,38.46,57.14,92.64,56.38
265,"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",There was a car accident on Circle Drive. There were no deaths.,51.85,24.0,51.85,95.39,72.68
266,Rob and Bob are watching the game. Bob will run some errands on the weekend. Jim's birthday is next Wednesday. He might organize a meetup this weekend. Bob will see Rob on the weekend.,"Bob and Rob are watching the game. Bob is going to run some errands, cook some food and go out for a few beers this weekend. Jim's birthday is next Wednesday. Jim might organize a meetup with a few friends at some bar. Bob will let Jim know if he wants to come.",58.43,39.08,49.44,93.66,62.41
267,"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.",Debra and Julie are going to meet up again over the weekend. There are 20 girls from the village 40+ coming.,60.0,21.05,50.0,91.93,52.2
268,Mike's had an accident on his motorcycle and he's broken his leg.,Mike had an accident on his motorcycle and broke his leg.,80.0,60.87,80.0,97.77,86.79
269,David was looking after Ethan's sister. Ethan is grateful. David won't do it again.  ,David went to Ethan's house to babysit his sister. He had to go through a lot. His sister was naughty. David has turned his phone on.,27.91,4.88,23.26,89.99,40.68
270,"Conrad can't enter the house because he forgot his keys. Since Rebecca and Tiffany are coming back late, he'll wait in the coffee shop. ",Conrad forgot his keys. Tiffany will be home at 10-11. Rebecca will be back even later. Conrad will wait in the coffee shop.,48.0,25.0,44.0,92.29,54.33
271,Clara and Ron are wondering what that weird smell at Kasia's place last night was.,There was a weird smell at Kasia's place last night.,66.67,56.0,59.26,94.71,68.63
272,"Holly is not feeling very well, so she's not coming to Jake's tonight. ",Holly is not coming to Jake's party tonight because she has the flu.,62.07,44.44,55.17,95.36,72.49
273,Ludmila's favourite dinosaur when she was little was the Triceratops.,Ludmila's favorite dinosaur growing up was a triceratops.,50.0,11.11,50.0,97.53,85.38
274,"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.",Josh and Sean are going to the pub tonight. Logan would like to meet some girls.,57.78,27.91,48.89,94.31,66.28
275,"Someone left a phone at Liam's place, but it wasn't Indiana.",Indiana left his phone at Liam's place.,66.67,42.11,57.14,92.87,57.77
276,"Claire is ordering her wedding dress, adviced by Maria and Nicole.",Claire wants to order a dress for the wedding.,30.0,0.0,20.0,93.35,60.57
277,"Victor took over Chris's company, which was under a huge debt. He sold the office and did some changes but Chris still works there as Director. David's business goes very slow but he expects it to get better by the end of the year.",Victor took over Chris's company. He sold off the office and accommodated them in his office. Chris is still working as Director. David's business is slow but he expects it to get better by the end of the year.,73.56,58.82,73.56,95.37,72.58
278,Patricia is recommending a fair-trade brand to Elle and Florence.,Patricia sends Elle the fair-trade brand she's been talking about.,43.48,19.05,34.78,92.53,55.73
279,"Ethan didn't come to the party last night because he is in Los Angeles. Abigail didn't know about it. Ethan will be back in a couple of days, the he will reach out to Abigail.",Ethan didn't attend the part last night because he is in Los Angeles. He will be back in 3 or 2 days.,60.0,44.83,56.67,92.49,55.5
280,Stan is meeting the girl of his dreams today in Pat&Gill's. Later he's going to tell Dave how his date went.,She replied to Stan's message. He's going to take her to Pat&Gill's.,40.0,26.32,30.0,91.27,48.26
281,Miro speaks Albanian with his parents. His family left Albania illegally in 1990s.,Abby met Miro yesterday at the party. Miro told her the story of his father coming from Albania to the US in the early 1990s.,30.0,5.26,30.0,90.25,42.23
282,"Julie has just watched a Japanese horror. She's alone at home and really scared. Paula and Rose are going to come to her place for a spontaneous sleepover. They'll drink cocoa and watch ""When Harry met Sally."" Rose will bring cookies.","Julie has just watched a Japanese horror movie and she's scared. Paula will come over to Julie's to drink cocoa and watch ""Harry met Sally"". Rose will bring cookies for the cocoa.",70.13,45.33,62.34,93.94,64.07
283,Lucy is panicking because her daughter is 15 now and she is not sure she is prepared as a mother.,Lucy's little girl is 15. It seems like yesterday she was 5 years old. Lucy is not as good as she always wanted to be as a mother.,40.82,21.28,40.82,90.8,45.47
284,"Dan,Tim, Chris and Martin will meet at 8. Dan and Martin will take it easy this time. Tom can't make it as he has a party at in-laws.","Dan, Tim, Chris and Martin are going out on Saturday at 8 o'clock. Tom can't join them as he is at his in-laws' party. Dan needs to be home at 2 and ready to drive on Sunday noon.",50.0,25.71,41.67,91.8,51.44
285,"Casey got a new nail polish and did her nails herself. It took her nearly 4 hours, so she won't do her friends' nails, as it takes too long.",Casey did her nails herself. She got a new nail polish but it took her 4 hours. She will do it for Kristen and Amelia.,69.09,37.74,50.91,93.99,64.41
286,"Sharol forgot about her sociology assignment. She needs to research feminist act, and it's due tomorrow. Kate has already finished it, and she rushes Sharol.",Sharol forgot about the sociology assignment due tomorrow. Kate reminds Sharol about it.,51.28,27.03,46.15,92.89,57.88
287,"Jack had to miss school because he is sick. Jamie was sick a lot last year but he got better thanks to doctor Tornez at City Medical Centre, next to the mall. Linda learns the school trip has been cancelled as many students are sick.","Half of the class is sick at school. Helen has a perdiatrician, doctor Tornez, who treats every case individually. The school trip is off.",34.78,11.94,23.19,89.22,36.11
288,Tim does not need mum for anything important at the moment.,Tim hasn't seen his mum for the last day because she's with Grace.,30.77,8.33,30.77,90.02,40.88
289,Kate believes her boyfriend's mother dislikes her. He is a nerd who lives and has always lived with his mother and grandmother.,Caroline's boyfriend is 26 and lives at home with his mum and gramma. His mother doesn't like Caroline because she's his first girlfriend.,36.73,8.51,24.49,90.2,41.92
290,Vincent's new lamp should be ready to be picked up on Tuesday.,Vincent broke his lamp with his bare hand. He ordered a new one on Tuesday.,35.71,7.69,28.57,90.65,44.59
291,"Nestor wanted to buy a laptop on Black Friday sales, but Olaf advise against it, as the prices in reality are not reduced. Nestor will check it if Olaf helps him to get a good deal from a guy he knows.",Nestor is thinking of buying a new laptop. Olaf advises him to check the prices of the chosen products before Black Friday and check them again when the promotion is over. He knows a guy who sells almost new computers at very reasonable prices. Nestor is going to the mall tomorrow and will ask him to send him the offer.,35.64,10.1,21.78,90.47,43.53
292,"Nancy asks Vic and Phil about various social media, which prompts them to discuss and compare the different platforms. Phil is not into Instagram but likes Twitter. Vic prefers Facebook over Twitter and likes Instagram. Phil and Vic both don't use Tumblr. ",Nancy and Phil prefer Facebook to Twitter. Vic prefers Facebook. Vic has never had an account on Tumblr.,32.79,13.56,32.79,90.93,46.28
293,"Amanda and Peter don't like what the man in dreads looks like, but Dan does.","Peter, Dan and Amanda have seen the guy with dreads.",46.15,0.0,23.08,93.16,59.5
294,James will pick up the car after his work tomorrow. Sue already have sent him money. ,James will pick the car up after work tomorrow. Sue will transfer the money in.,70.97,34.48,64.52,95.49,73.28
295,Jess is in a traffic jam in West Bronx.,Jess is stuck in a traffic jam in West Bronx.,94.74,82.35,94.74,99.04,94.33
296,"Dima's laptop is broken, as her cat spilled coffee on the laptop. Dima is worried, because she has to deliver a translation for Trados tomorrow. Dima will come to Nada in an hour to borrow Nada's laptop. ",Dima's laptop is broken and he has to deliver a translation tomorrow at 9. Nada lent her laptop to her brother. Dima will pick it up in an hour.,57.97,32.84,46.38,92.26,54.15
297,"Afterwards, Kelly wandered around and met some people from school. She also met him. They almost didn't talk and he was with someone. ",Kelly went to the pub after school and met more people from school. She met a guy there. She told him a few words and he heard from her a bit.,40.0,18.87,40.0,91.8,51.4
298,Anne is inviting Adele for Easter. Adele will bring some chocolate eggs.,Adele is off on Friday. Anne will invite Louise for Easter. Adele will bring eggs.,66.67,32.0,51.85,94.8,69.19
299,"Melody's 5-year-old laptop is broken. Tomorrow she'll know what's wrong. She won't be repairing it, because her laptop is too old. Instead, she'll buy a new one.",Peggy's computer is broken and she might not have to get it repaired. Melody recommends her to get a new one.,35.71,11.11,32.14,90.82,45.62
300,Jerry will be home in 40 minutes. ,"Jerry is coming home in 40 minutes. Janet's day was ok, but her boss can be a bitch sometimes.",44.44,24.0,37.04,92.19,53.73
301,They are going to do some research on holiday options and discuss them later. They will most likely choose a cheap offer from a tour operator.,"Mark, Anna, Julia and George are going on a package tour. They will choose one of the cheaper options from a tour operator. They are going to divide themselves so they don't check the same websites.",47.62,22.95,31.75,90.41,43.19
302,"Del accused Stanley of having an affair, because he couldn't go with her this weekend due to his work. They've only been together for 4 months, so it's not a good sign. Now Bill and Stanley need to take care of the Lidem project. Division of tasks is on Stanley, because Alison is unreachable.","Alison accused Stanley of having an affair. He can't go for the weekend with her because of work. The analysis of tasks is not done yet, Alison disappeared from all the media and won't answer her phone. The division of the tasks is on Stanley.",51.92,25.49,40.38,89.37,37.0
303,Kimberly might have left her umbrella she got from her mother at the cafe yesterday. Laura gives her the cafe's phone number to check with the staff.,Kimberly left the cafe yesterday with her umbrella. She got it as a present from her mother a few years ago. She will call the cafe at 613-785-4329.,55.17,28.57,37.93,90.15,41.62
304,Catherine applied for an accounting position at Pandora. Jake has been working there for 5 years. This job offers a clear career path and benefits. Jake got promoted twice with salary increase. Catherine will have an interview on Monday.,Catherine applied for an accounting position at Pandora. She will have an interview on Monday. She graduated with honours from uni.,50.0,41.38,46.67,91.29,48.41
305,Anna will go with Fiona to a doctor tomorrow at 8 a.m.,Anna will go with Fiona to the doctor tomorrow at 8 a.m.,92.31,83.33,92.31,99.54,97.25
306,Pipe under the wash basin exploded when Dan wanted to wash his hands. Andrea is going to write to the owner about it.,Dan wanted to wash his hands and the pipe under the wash basin exploded. Andrea will write to the owner and Dan will do it himself.,73.47,55.32,48.98,94.88,69.66
307,Both Claire and Linda are making curry for dinner. ,Linda is cooking curry.,30.77,0.0,30.77,94.73,68.78
308,Matt will be staying with homestay parents for one more month. They seem to talk more to Carlos. They have higher electricity bills because Matt spends a lot of time at home.,Matt feels that his homestay parents don't treat him well. They take Carlos for subway and they prefer talking to him. Matt stays at home too much and they have to pay more for electricity.,44.12,9.09,26.47,91.18,47.73
309,"Ann thanks Katie for hosting her son Tim on Monday evening and driving him to the railway station next morning. Kate will send a message to Tim tomorrow, to ask about the place where she should be waiting for him.",Katie will pick up Ann's son Tim tomorrow. They spent a week together 20 years ago in Saint Fargeau.,23.33,6.9,13.33,87.41,25.42
310,Ahmed wants Sharon to move in with him but she's afraid of her parents' reaction. Ahmed is angry.,Sharon's mother is angry at her and she's grounded. She wants Sharon to move out of her parents' house. She's 19 and still lives with her parents.,48.98,29.79,32.65,90.11,41.37
311,Rob is disappointed with memes he watches. Tom suggests he should get a girlfriend instead of complaining about the memes.,Rob is looking at today's memes and they mostly refer to things that are stupid or have no humour value.,14.63,5.13,14.63,87.24,24.39
312,Mike will refill the hand sanitizer on Grace's request.,Mike will refill the hand sanitizer by the restrooms.,63.16,58.82,63.16,95.34,72.42
313,"Cheryl had an argument with her mom. She forgot to close the window, got angry and started a fight. Her mom gave her time till the end of the year to move out.",Cheryl had an argument with her mother because she forgot to close the window when she was leaving home. Her mom kicked her out. She gave her time till the end of the year.,71.64,58.46,68.66,95.46,73.08
314,David lands at 17:30 at Sevilla airport and Victor will pick him up.,David is landing at 17:30 at Sevilla. Victor will pick him up from the airport.,80.0,57.14,73.33,97.73,86.56
315,Ann wants to buy Josh's laptop for $200. Josh doesn't want to negotiate the price. Ann will take it for $250 with accessories. ,Ann will pay 200 dollars for the laptop. Josh has a bag and a small usb mouse. Ann will pick it up.,38.3,4.44,25.53,90.91,46.12
316,"Mike wants someone else to do the washing up this time. Sara agrees, but when she returns from the cinema she is at with Jack.",Sara will do the washing up when she gets back from the cinema with Jack.,60.0,36.84,55.0,91.72,50.92
317,Gary is a driver for Uber and he really enjoys it.,Gary is driving for Uber. Ellie told him it was a terrible idea. Gary loves it and has met loads of cool people. Gary is not good at being around new people.,32.56,9.76,23.26,92.28,54.27
318,Kristi needs new trainers. Leah has a link for a discount coupon at an online store.,Leah sends Kristi a link with a 20% discount coupon for the online shop Direndia45. Kristi needs new trainers. Leah will get some accumulated money for the shopping next time.,51.06,26.67,29.79,91.5,49.67
319,Steve is calling Sue at her request.,Steve will call Sue when he gets this.,26.67,0.0,26.67,92.21,53.85
320,Andre is shocked after reading the news about a bear attack at the zoo. Megan is not surprised that an animal kept in a cage reacted that way.,Andre and Megan are shocked about the bear attack on the zoo.,45.0,10.53,35.0,93.62,62.18
321,Barbara got the confirmation email from AES. Mick did not get the email and will call them.,Mick didn't get the confirmation emai from AES yet. Barbara did. Mick will call them.,66.67,32.26,48.48,92.37,54.8
322,"Allison send Alan budget estimation for this year. Extra other expenses are boss's trip to Japan, for a convention.","Allison sent Alan a file with budget estimation for the current year. The costs in the line ""other expenses"" were doubled because the boss had to come back from Japan for the convention.",52.83,15.69,49.06,92.06,52.93
323,Liam and Nate will meet spontaneously in 15 minutes.,Liam and Nate will meet in 15 minutes.,94.12,80.0,94.12,96.99,82.17
324,Carl will compete in championship this year. Duncan can't miss this event. Carl will register his family members as VIP.,Duncan wishes Carl all the best in this year's championship. Carl is using a 6 speed hydrolic shift gearbox this year. Duncan and his family will attend the championship.,43.14,12.24,31.37,89.14,35.64
325,Dinny's afraid of Terry's dog so he should keep it away.,Terry will take his dog away before Dinny comes.,36.36,0.0,27.27,91.01,46.75
326,Anastasia sent her new school photos to Darrell.,Anastasia and Darrell took their new school photos. Anastasia needed a new one for her school ID.,48.0,17.39,32.0,93.84,63.5
327,Kim is going with Jane to Seoul in April. Jane will be their tour guide.,Kim is going to Seoul in April. Jane will be their tour guide.,92.86,84.62,92.86,97.85,87.29
328,Dad of Aubrianna's friend died of malaria in Kongo.,Aubrianna's friend's dad died because of malaria in kongo.,85.71,52.63,76.19,94.8,69.21
329,"Josh is upset, because he lost his new sneakers on Tuesday. Josh has already called the gym, but they didn't find anything. Josh will check the swimming pool and give Mark a call.","Josh lost his new sneakers last Tuesday. He thought he left them in the gym, but they were not found. He will try to check the swimming pool.",51.61,30.0,48.39,93.93,64.03
